Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,GSW,NBA,SG,61,267,0.371,16.3,0.707,0.198,0.06,0.103,0.345,0.293,0.402,0.565,0.286,0.333,0.35,0.294,0.242,0.5,0.017,2,0.265,0.333,1,0
2013-14,24,TOT,NBA,SG,67,911,0.429,14.8,0.627,0.271,0.143,0.052,0.16,0.373,0.484,0.645,0.306,0.389,0.4,0.336,0.375,0.674,0.029,9,0.195,0.4,4,0
2013-14,24,GSW,NBA,SG,44,268,0.371,17.4,0.598,0.227,0.113,0.021,0.237,0.402,0.448,0.636,0.364,0,0.348,0.256,0.231,0.4,0.031,2,0.179,0.143,3,0
2013-14,24,LAL,NBA,SG,23,643,0.451,13.8,0.638,0.289,0.154,0.065,0.13,0.362,0.497,0.648,0.289,0.438,0.438,0.371,0.423,0.758,0.028,7,0.202,0.5,1,0
2014-15,25,ATL,NBA,SG,75,1324,0.426,12.4,0.601,0.329,0.151,0.057,0.063,0.399,0.467,0.606,0.32,0.158,0.381,0.364,0.624,0.938,0.066,17,0.485,0.422,0,0
2015-16,26,ATL,NBA,SF,75,2083,0.441,12.7,0.579,0.39,0.08,0.026,0.083,0.421,0.502,0.594,0.276,0.368,0.333,0.357,0.536,0.927,0.029,15,0.384,0.41,1,0
2016-17,27,ATL,NBA,SF,73,1963,0.409,14.8,0.631,0.272,0.1,0.062,0.198,0.369,0.446,0.566,0.222,0.311,0.434,0.346,0.522,0.848,0.021,13,0.327,0.414,1,0
2017-18,28,ATL,NBA,SG,65,1789,0.42,14.7,0.595,0.226,0.139,0.08,0.149,0.405,0.438,0.608,0.266,0.333,0.396,0.394,0.472,0.833,0.031,19,0.285,0.436,1,0
2018-19,29,ATL,NBA,SG,67,1643,0.402,15,0.566,0.279,0.109,0.078,0.1,0.434,0.465,0.611,0.213,0.296,0.464,0.32,0.478,0.844,0.023,15,0.353,0.34,4,0
2019-20,30,TOT,NBA,SF,68,1688,0.375,14.9,0.543,0.268,0.139,0.069,0.067,0.457,0.4,0.531,0.243,0.297,0.306,0.344,0.491,0.952,0.026,14,0.459,0.313,5,0
2019-20,30,POR,NBA,SF,43,1111,0.347,16.8,0.475,0.212,0.104,0.083,0.077,0.525,0.368,0.464,0.235,0.259,0.4,0.327,0.404,0.946,0.015,5,0.433,0.297,4,0
2019-20,30,SAC,NBA,SF,25,577,0.418,11.9,0.649,0.356,0.192,0.048,0.053,0.351,0.437,0.595,0.25,0.4,0.091,0.384,0.576,0.964,0.043,9,0.521,0.342,1,0
2020-21,31,GSW,NBA,SF,67,1333,0.449,15.3,0.531,0.214,0.168,0.061,0.087,0.469,0.486,0.643,0.485,0.292,0.235,0.408,0.624,0.907,0.01,4,0.527,0.392,0,0
2021-22,32,LAL,NBA,SF,39,545,0.324,18.1,0.424,0.173,0.094,0.058,0.101,0.576,0.271,0.333,0.308,0.125,0.214,0.363,0.813,0.931,0.014,1,0.525,0.405,2,0
