Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,20,DET,NBA,SG,80,1583,0.396,15.4,0.598,0.267,0.078,0.065,0.187,0.402,0.447,0.602,0.333,0.4,0.291,0.319,0.634,0.966,0.048,17,0.357,0.379,3,0
2014-15,21,DET,NBA,SG,82,2587,0.401,15.8,0.543,0.226,0.099,0.08,0.138,0.457,0.449,0.6,0.26,0.436,0.343,0.345,0.608,0.863,0.036,30,0.241,0.383,4,0
2015-16,22,DET,NBA,SG,76,2789,0.42,14.8,0.616,0.228,0.116,0.107,0.166,0.384,0.489,0.639,0.333,0.476,0.396,0.309,0.481,0.842,0.027,23,0.266,0.378,5,0
2016-17,23,DET,NBA,SG,76,2529,0.399,17.8,0.529,0.152,0.079,0.113,0.185,0.471,0.442,0.61,0.274,0.381,0.413,0.35,0.525,0.784,0.02,19,0.172,0.467,7,0
2017-18,24,LAL,NBA,SG,74,2458,0.426,17.2,0.48,0.197,0.065,0.061,0.157,0.52,0.473,0.662,0.327,0.327,0.352,0.383,0.613,0.874,0.026,20,0.154,0.406,1,0
2018-19,25,LAL,NBA,SG,82,2035,0.43,18.3,0.425,0.18,0.06,0.071,0.114,0.575,0.542,0.676,0.4,0.407,0.488,0.347,0.707,0.94,0.029,17,0.257,0.42,1,0
2019-20,26,LAL,NBA,SG,69,1762,0.467,15.9,0.529,0.254,0.071,0.091,0.112,0.471,0.541,0.651,0.528,0.391,0.421,0.385,0.766,0.924,0.032,14,0.397,0.389,1,0
2020-21,27,LAL,NBA,SG,67,1902,0.431,17.6,0.421,0.204,0.073,0.042,0.103,0.579,0.46,0.602,0.378,0.238,0.327,0.41,0.816,0.95,0.018,7,0.396,0.431,0,0
2021-22,28,WAS,NBA,SG,77,2329,0.435,18.1,0.508,0.105,0.117,0.112,0.175,0.492,0.48,0.678,0.361,0.43,0.469,0.39,0.619,0.912,0.011,6,0.346,0.468,0,0
2022-23,29,DEN,NBA,SG,76,2381,0.462,17.3,0.495,0.136,0.114,0.081,0.155,0.505,0.502,0.686,0.403,0.431,0.449,0.423,0.828,0.926,0.024,12,0.411,0.405,1,0
