Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,OKC,NBA,SF,81,3119,0.51,13.3,0.767,0.22,0.166,0.195,0.186,0.233,0.539,0.737,0.471,0.475,0.432,0.416,0.449,0.799,0.083,115,0.06,0.4,0,0
2013-14,25,OKC,NBA,SF,81,3122,0.503,13.8,0.709,0.223,0.15,0.191,0.145,0.291,0.549,0.798,0.417,0.441,0.445,0.391,0.447,0.557,0.088,146,0.053,0.423,1,0
2014-15,26,OKC,NBA,SF,27,913,0.51,14.4,0.66,0.206,0.109,0.184,0.161,0.34,0.565,0.802,0.412,0.535,0.4,0.403,0.511,0.656,0.079,37,0.094,0.533,0,0
2015-16,27,OKC,NBA,SF,72,2578,0.505,14.6,0.652,0.212,0.098,0.182,0.161,0.348,0.569,0.737,0.437,0.542,0.455,0.387,0.518,0.64,0.081,106,0.037,0.389,0,0
2016-17,28,GSW,NBA,PF,62,2070,0.537,13.8,0.696,0.268,0.116,0.161,0.151,0.304,0.608,0.796,0.487,0.43,0.555,0.375,0.565,0.803,0.107,107,0.125,0.436,2,0
2017-18,29,GSW,NBA,SF,68,2325,0.516,15.4,0.662,0.179,0.096,0.201,0.185,0.338,0.565,0.758,0.513,0.492,0.487,0.419,0.488,0.688,0.084,94,0.094,0.564,3,0
2018-19,30,GSW,NBA,SF,78,2702,0.521,14.9,0.719,0.189,0.106,0.238,0.187,0.281,0.587,0.752,0.541,0.517,0.535,0.353,0.471,0.569,0.087,114,0.077,0.233,0,0
2020-21,32,BRK,NBA,PF,35,1157,0.537,14.9,0.687,0.149,0.154,0.254,0.129,0.313,0.577,0.833,0.473,0.536,0.487,0.45,0.477,0.647,0.066,38,0.074,0.643,0,0
2021-22,33,BRK,NBA,PF,55,2047,0.518,15.1,0.731,0.109,0.143,0.319,0.161,0.269,0.568,0.744,0.516,0.528,0.575,0.383,0.499,0.557,0.033,34,0.067,0.55,0,0
2022-23,34,TOT,NBA,PF,47,1672,0.56,15.1,0.733,0.11,0.162,0.292,0.168,0.267,0.617,0.821,0.607,0.591,0.538,0.404,0.464,0.656,0.044,37,0.078,0.556,0,0
2022-23,34,BRK,NBA,PF,39,1403,0.559,14.9,0.743,0.123,0.163,0.292,0.165,0.257,0.622,0.811,0.608,0.603,0.529,0.376,0.457,0.592,0.049,35,0.063,0.417,0,0
2022-23,34,PHO,NBA,PF,8,269,0.57,16.6,0.68,0.039,0.156,0.297,0.188,0.32,0.586,1,0.6,0.526,0.583,0.537,0.51,0.864,0.016,2,0.146,0.833,0,0
