Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,MIN,NBA,PF,18,618,0.352,12.7,0.691,0.322,0.191,0.06,0.117,0.309,0.413,0.49,0.281,0.556,0.343,0.217,0.541,0.85,0.03,8,0.043,0.5,1,0
2013-14,25,MIN,NBA,PF,77,2797,0.457,14.3,0.645,0.253,0.167,0.091,0.134,0.355,0.502,0.669,0.412,0.354,0.4,0.376,0.572,0.858,0.023,31,0.095,0.396,5,0
2014-15,26,CLE,NBA,PF,75,2532,0.434,14.3,0.588,0.213,0.181,0.08,0.114,0.412,0.48,0.611,0.366,0.408,0.468,0.367,0.691,0.986,0.03,27,0.321,0.365,0,0
2015-16,27,CLE,NBA,PF,77,2424,0.419,15.2,0.551,0.173,0.19,0.084,0.104,0.449,0.467,0.55,0.452,0.341,0.451,0.36,0.602,0.987,0.023,20,0.303,0.398,0,0
2016-17,28,CLE,NBA,PF,60,1885,0.427,15.3,0.551,0.212,0.156,0.099,0.084,0.449,0.471,0.56,0.415,0.43,0.397,0.373,0.551,0.986,0.014,12,0.355,0.413,0,0
2017-18,29,CLE,NBA,C,59,1651,0.458,14.9,0.547,0.243,0.122,0.095,0.089,0.453,0.494,0.661,0.315,0.391,0.385,0.415,0.645,0.978,0.008,5,0.297,0.378,0,0
2018-19,30,CLE,NBA,PF,22,598,0.385,16.7,0.481,0.212,0.12,0.078,0.071,0.519,0.412,0.517,0.412,0.273,0.25,0.361,0.518,0.906,0.014,4,0.197,0.448,0,0
2019-20,31,CLE,NBA,PF,56,1780,0.45,18.3,0.464,0.133,0.116,0.111,0.103,0.536,0.537,0.66,0.393,0.605,0.467,0.374,0.586,0.932,0.007,3,0.141,0.455,0,0
2020-21,32,CLE,NBA,PF,25,622,0.409,19.4,0.381,0.115,0.123,0.079,0.063,0.619,0.479,0.621,0.484,0.4,0.313,0.365,0.609,0.895,0,0,0.103,0.438,0,0
2021-22,33,CLE,NBA,C,74,1665,0.43,19.7,0.373,0.113,0.1,0.084,0.076,0.627,0.493,0.709,0.461,0.391,0.328,0.392,0.571,0.936,0.008,5,0.17,0.358,1,0
2022-23,34,TOT,NBA,PF,62,1240,0.389,20.2,0.302,0.106,0.104,0.052,0.04,0.698,0.516,0.622,0.5,0.364,0.471,0.334,0.576,0.939,0.012,2,0.149,0.341,0,0
2022-23,34,CLE,NBA,PF,41,821,0.389,20.2,0.316,0.119,0.084,0.06,0.053,0.684,0.467,0.588,0.5,0.235,0.4,0.354,0.548,0.928,0.018,2,0.144,0.429,0,0
2022-23,34,MIA,NBA,PF,21,419,0.388,20.3,0.273,0.079,0.144,0.036,0.014,0.727,0.632,0.727,0.5,0.8,1,0.297,0.625,0.967,0,0,0.158,0.188,0,0
