Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,21,DET,NBA,SG,27,475,0.44,14.7,0.681,0.206,0.142,0.121,0.213,0.319,0.5,0.655,0.4,0.647,0.333,0.311,0.625,1,0.035,5,0.689,0.387,2,0
2013-14,22,MIL,NBA,SF,82,2460,0.44,15.9,0.66,0.17,0.111,0.133,0.246,0.34,0.454,0.552,0.316,0.465,0.443,0.414,0.688,0.958,0.011,9,0.324,0.415,2,0
2014-15,23,MIL,NBA,SF,79,2378,0.467,14.8,0.692,0.176,0.112,0.159,0.245,0.308,0.494,0.621,0.474,0.449,0.441,0.407,0.596,0.982,0.018,16,0.399,0.523,0,0
2015-16,24,MIL,NBA,SG,79,2852,0.444,15.2,0.684,0.146,0.123,0.189,0.226,0.316,0.466,0.635,0.397,0.44,0.415,0.396,0.415,0.888,0.02,22,0.224,0.432,2,0
2016-17,25,MIL,NBA,SF,29,889,0.45,15.1,0.688,0.126,0.201,0.186,0.174,0.312,0.459,0.643,0.403,0.419,0.431,0.433,0.495,0.889,0.003,1,0.279,0.414,0,0
2017-18,26,MIL,NBA,SF,82,2982,0.466,15.1,0.68,0.14,0.133,0.218,0.189,0.32,0.517,0.629,0.444,0.545,0.452,0.359,0.427,0.842,0.023,27,0.199,0.432,1,0
2018-19,27,MIL,NBA,SF,77,2393,0.441,15.9,0.587,0.171,0.159,0.145,0.112,0.413,0.485,0.592,0.429,0.461,0.434,0.378,0.327,0.603,0.017,19,0.127,0.317,0,0
2019-20,28,MIL,NBA,SF,62,1853,0.497,16.6,0.626,0.127,0.129,0.199,0.172,0.374,0.546,0.7,0.451,0.505,0.552,0.415,0.377,0.701,0.012,11,0.15,0.472,2,0
2020-21,29,MIL,NBA,SF,68,2269,0.476,15.7,0.66,0.15,0.146,0.196,0.168,0.34,0.508,0.652,0.49,0.464,0.444,0.414,0.333,0.649,0.014,11,0.156,0.439,0,0
2021-22,30,MIL,NBA,SF,66,2141,0.443,17.3,0.575,0.104,0.14,0.189,0.142,0.425,0.494,0.736,0.406,0.503,0.393,0.373,0.331,0.63,0.008,6,0.111,0.375,0,0
2022-23,31,MIL,NBA,SF,33,801,0.436,16.4,0.601,0.111,0.18,0.175,0.135,0.399,0.516,0.644,0.548,0.423,0.491,0.315,0.333,0.608,0.002,1,0.142,0.391,0,0
