Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,31,ATL,NBA,SF,74,2259,0.461,22,0.311,0.035,0.015,0.045,0.216,0.689,0.471,0.571,0.333,0.37,0.485,0.457,0.92,0.984,0.002,1,0.326,0.481,0,0
2013-14,32,ATL,NBA,SG,71,2408,0.475,21.5,0.356,0.026,0.026,0.074,0.23,0.644,0.479,0.625,0.5,0.489,0.457,0.472,0.913,0.962,0,0,0.327,0.516,0,0
2014-15,33,ATL,NBA,SG,75,2418,0.487,21.7,0.252,0.047,0.022,0.035,0.148,0.748,0.47,0.679,0.231,0.429,0.449,0.492,0.915,0.964,0.005,3,0.247,0.541,0,0
2015-16,34,ATL,NBA,SG,80,2401,0.435,20.7,0.356,0.058,0.021,0.054,0.222,0.644,0.502,0.639,0.308,0.576,0.467,0.398,0.864,0.975,0.002,1,0.224,0.449,0,0
2016-17,35,TOT,NBA,SG,67,1753,0.464,22,0.303,0.041,0.019,0.047,0.196,0.697,0.494,0.667,0.5,0.292,0.505,0.451,0.909,0.975,0.002,1,0.267,0.51,0,0
2016-17,35,ATL,NBA,SG,32,894,0.439,21.3,0.354,0.057,0.024,0.033,0.24,0.646,0.494,0.643,0.333,0.375,0.492,0.409,0.884,0.985,0,0,0.17,0.519,0,0
2016-17,35,CLE,NBA,SG,35,859,0.487,22.6,0.257,0.026,0.015,0.059,0.156,0.743,0.493,0.714,0.75,0.25,0.524,0.485,0.941,0.969,0.004,1,0.345,0.507,0,0
2017-18,36,CLE,NBA,SG,73,1574,0.459,22.1,0.223,0.062,0.017,0.037,0.107,0.777,0.537,0.733,0.5,0.5,0.442,0.436,0.948,0.976,0,0,0.223,0.512,1,0
2018-19,37,TOT,NBA,"PF,SG",70,1334,0.416,22.5,0.28,0.033,0.029,0.052,0.166,0.72,0.467,0.813,0.429,0.4,0.425,0.397,0.921,0.993,0,0,0.256,0.483,0,0
2018-19,37,CLE,NBA,PF,16,251,0.461,22.3,0.289,0.026,0.066,0.053,0.145,0.711,0.455,0.5,0.8,0.75,0.182,0.463,0.8,1,0,0,0.241,0.615,0,0
2018-19,37,UTA,NBA,SG,54,1083,0.408,22.5,0.278,0.034,0.022,0.052,0.17,0.722,0.469,0.857,0.222,0.333,0.464,0.384,0.943,0.991,0,0,0.259,0.461,0,0
2019-20,38,MIL,NBA,SF,58,960,0.43,23.4,0.191,0.038,0.017,0.031,0.106,0.809,0.482,0.455,0.2,0.556,0.516,0.418,0.778,0.97,0,0,0.236,0.429,0,0
