Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,TOR,NBA,PG,68,2020,0.401,16.1,0.552,0.238,0.119,0.063,0.133,0.448,0.433,0.568,0.378,0.359,0.277,0.362,0.295,0.624,0,0,0.09,0.36,1,0
2013-14,27,TOR,NBA,PG,79,2862,0.423,16.4,0.537,0.188,0.162,0.062,0.126,0.463,0.46,0.611,0.417,0.328,0.353,0.38,0.281,0.637,0,0,0.112,0.357,2,1
2014-15,28,TOR,NBA,PG,70,2414,0.412,15.1,0.625,0.201,0.138,0.097,0.188,0.375,0.457,0.629,0.403,0.317,0.388,0.338,0.262,0.576,0,0,0.151,0.339,2,0
2015-16,29,TOR,NBA,PG,77,2851,0.427,15.6,0.543,0.216,0.141,0.07,0.117,0.457,0.461,0.602,0.355,0.357,0.386,0.388,0.17,0.684,0,0,0.101,0.491,2,1
2016-17,30,TOR,NBA,PG,60,2244,0.464,16.4,0.49,0.194,0.167,0.059,0.071,0.51,0.518,0.68,0.399,0.463,0.4,0.412,0.142,0.523,0,0,0.083,0.308,1,0
2017-18,31,TOR,NBA,PG,78,2510,0.427,18.5,0.369,0.175,0.085,0.055,0.054,0.631,0.474,0.655,0.275,0.327,0.353,0.399,0.267,0.643,0,0,0.102,0.475,1,0
2018-19,32,TOR,NBA,PG,65,2213,0.411,19,0.387,0.187,0.06,0.062,0.078,0.613,0.514,0.645,0.409,0.435,0.345,0.347,0.299,0.745,0,0,0.115,0.442,3,0
2019-20,33,TOR,NBA,PG,58,2098,0.416,18.2,0.42,0.213,0.093,0.044,0.07,0.58,0.504,0.643,0.347,0.4,0.357,0.352,0.235,0.543,0,0,0.088,0.317,5,0
2020-21,34,TOR,NBA,PG,46,1601,0.436,18.5,0.445,0.149,0.129,0.074,0.092,0.555,0.487,0.685,0.364,0.409,0.4,0.396,0.349,0.687,0,0,0.082,0.481,1,0
2021-22,35,MIA,NBA,PG,63,2133,0.44,19.8,0.391,0.121,0.091,0.091,0.088,0.609,0.539,0.711,0.456,0.456,0.473,0.377,0.303,0.653,0,0,0.147,0.446,4,0
2022-23,36,MIA,NBA,PG,55,1718,0.404,19.4,0.361,0.14,0.093,0.082,0.045,0.639,0.509,0.588,0.444,0.475,0.455,0.345,0.292,0.757,0,0,0.177,0.455,1,0
