Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,20,CLE,NBA,PG,59,2048,0.452,13.9,0.739,0.235,0.138,0.173,0.193,0.261,0.474,0.574,0.385,0.443,0.444,0.391,0.24,0.532,0.004,4,0.054,0.4,2,0
2013-14,21,CLE,NBA,PG,71,2496,0.43,14.5,0.722,0.234,0.1,0.154,0.233,0.278,0.458,0.576,0.371,0.44,0.389,0.358,0.267,0.455,0.002,2,0.166,0.333,2,0
2014-15,22,CLE,NBA,PG,75,2730,0.468,12.9,0.694,0.273,0.148,0.137,0.136,0.306,0.491,0.611,0.344,0.42,0.482,0.415,0.219,0.618,0.003,4,0.206,0.474,2,1
2015-16,23,CLE,NBA,PG,53,1667,0.448,13.2,0.702,0.243,0.164,0.131,0.166,0.298,0.502,0.584,0.403,0.504,0.473,0.321,0.206,0.595,0.001,1,0.218,0.386,0,0
2016-17,24,CLE,NBA,PG,72,2525,0.473,14,0.689,0.264,0.123,0.159,0.144,0.311,0.505,0.603,0.362,0.469,0.485,0.401,0.223,0.531,0.001,2,0.195,0.384,1,0
2017-18,25,BOS,NBA,PG,60,1931,0.491,14.5,0.626,0.223,0.158,0.132,0.112,0.374,0.541,0.649,0.436,0.479,0.549,0.408,0.264,0.53,0.002,2,0.123,0.42,1,0
2018-19,26,BOS,NBA,PG,67,2214,0.487,14.6,0.65,0.226,0.16,0.132,0.132,0.35,0.533,0.633,0.444,0.524,0.476,0.401,0.265,0.638,0.002,1,0.124,0.407,1,0
2019-20,27,BRK,NBA,PG,20,658,0.478,14.6,0.659,0.19,0.173,0.195,0.101,0.341,0.522,0.671,0.444,0.506,0.405,0.394,0.203,0.357,0,0,0.099,0.5,0,0
2020-21,28,BRK,NBA,PG,54,1886,0.506,14.6,0.652,0.195,0.196,0.159,0.101,0.348,0.561,0.623,0.535,0.52,0.555,0.402,0.234,0.579,0.005,3,0.071,0.37,0,0
2021-22,29,BRK,NBA,PG,29,1091,0.469,16.5,0.612,0.093,0.188,0.203,0.128,0.388,0.501,0.702,0.543,0.432,0.405,0.418,0.233,0.59,0.002,1,0.146,0.429,0,0
2022-23,30,TOT,NBA,"PG,SG",60,2241,0.494,15.8,0.588,0.16,0.182,0.155,0.091,0.412,0.574,0.724,0.507,0.538,0.509,0.379,0.291,0.511,0.002,1,0.107,0.34,2,0
2022-23,30,BRK,NBA,PG,40,1478,0.486,16.2,0.575,0.147,0.166,0.16,0.103,0.425,0.569,0.7,0.522,0.55,0.488,0.374,0.295,0.515,0.001,1,0.098,0.324,0,0
2022-23,30,DAL,NBA,SG,20,763,0.51,14.8,0.615,0.188,0.216,0.143,0.068,0.385,0.585,0.764,0.482,0.509,0.577,0.392,0.283,0.5,0.003,0,0.128,0.368,2,0
