Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,27,POR,NBA,PF,74,2790,0.484,11.7,0.989,0.215,0.192,0.197,0.385,0.011,0.488,0.694,0.447,0.438,0.418,0.143,0.542,0.5,0.047,56,0.286,0.25,1,0
2013-14,28,POR,NBA,PF,69,2498,0.458,12.5,0.989,0.186,0.162,0.226,0.415,0.011,0.461,0.675,0.364,0.388,0.442,0.2,0.599,0.667,0.027,36,0.067,0,1,0
2014-15,29,POR,NBA,PF,71,2512,0.466,12.3,0.926,0.193,0.163,0.206,0.365,0.074,0.475,0.7,0.448,0.392,0.415,0.352,0.468,0.919,0.02,27,0.295,0.355,1,0
2015-16,30,SAS,NBA,PF,74,2261,0.513,10,0.985,0.279,0.191,0.211,0.303,0.015,0.521,0.733,0.465,0.427,0.426,0,0.66,,0.047,47,0.5,0,0,0
2016-17,31,SAS,NBA,PF,72,2335,0.477,11.8,0.947,0.222,0.194,0.202,0.328,0.053,0.48,0.7,0.422,0.387,0.424,0.411,0.577,0.957,0.041,37,0.411,0.435,0,0
2017-18,32,SAS,NBA,C,75,2509,0.51,9.8,0.932,0.275,0.212,0.256,0.189,0.068,0.526,0.735,0.446,0.438,0.431,0.293,0.502,0.963,0.036,46,0.163,0.467,1,0
2018-19,33,SAS,NBA,C,81,2687,0.519,9.7,0.968,0.27,0.246,0.252,0.201,0.032,0.528,0.716,0.485,0.437,0.442,0.238,0.588,0.9,0.042,51,0.095,0.25,0,0
2019-20,34,SAS,NBA,C,53,1754,0.493,13.7,0.802,0.202,0.129,0.227,0.245,0.198,0.519,0.719,0.471,0.461,0.433,0.389,0.567,0.951,0.044,31,0.185,0.379,1,0
2020-21,35,TOT,NBA,C,26,674,0.473,15.5,0.73,0.152,0.122,0.152,0.304,0.27,0.505,0.622,0.472,0.444,0.489,0.388,0.688,0.968,0.044,12,0.175,0.429,0,0
2020-21,35,SAS,NBA,C,21,544,0.464,16.6,0.698,0.109,0.129,0.125,0.335,0.302,0.509,0.63,0.438,0.452,0.518,0.36,0.705,0.963,0.024,6,0.16,0.417,0,0
2020-21,35,BRK,NBA,C,5,130,0.521,9.9,0.896,0.375,0.083,0.292,0.146,0.104,0.488,0.611,0.75,0.429,0.143,0.8,0.619,1,0.146,6,0.4,0.5,0,0
2021-22,36,BRK,NBA,C,47,1050,0.55,12.3,0.9,0.21,0.17,0.24,0.279,0.1,0.578,0.729,0.513,0.509,0.563,0.304,0.748,1,0.039,18,0.283,0.308,0,0
