Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,IND,NBA,SG,78,2278,0.46,12.9,0.686,0.378,0.094,0.054,0.161,0.314,0.52,0.695,0.321,0.375,0.271,0.33,0.493,0.919,0.038,20,0.314,0.373,3,0
2013-14,23,IND,NBA,SG,78,2752,0.491,12.2,0.72,0.371,0.144,0.077,0.128,0.28,0.545,0.693,0.432,0.299,0.387,0.352,0.328,0.791,0.023,19,0.193,0.489,4,0
2014-15,24,CHO,NBA,SG,61,1573,0.376,12.5,0.809,0.295,0.124,0.122,0.269,0.191,0.425,0.568,0.324,0.418,0.318,0.171,0.28,0.833,0.005,2,0.086,0.111,2,0
2015-16,25,TOT,NBA,SF,69,1372,0.481,10.1,0.835,0.386,0.154,0.101,0.194,0.165,0.5,0.661,0.315,0.396,0.38,0.385,0.253,0.733,0.027,11,0.321,0.28,1,0
2015-16,25,LAC,NBA,SF,43,680,0.494,12.3,0.717,0.367,0.078,0.084,0.187,0.283,0.529,0.705,0.308,0.357,0.355,0.404,0.27,0.789,0.036,5,0.447,0.333,1,0
2015-16,25,MEM,NBA,SF,26,692,0.474,8.9,0.899,0.396,0.195,0.11,0.198,0.101,0.487,0.639,0.317,0.412,0.393,0.355,0.244,0.636,0.023,6,0.129,0,0,0
2016-17,26,TOT,NBA,SG,18,361,0.45,13.1,0.833,0.25,0.133,0.15,0.3,0.167,0.48,0.733,0.438,0.222,0.417,0.3,0.396,0.667,0.017,2,0.1,1,1,0
2016-17,26,NOP,NBA,SG,6,162,0.473,12.1,0.818,0.345,0.127,0.109,0.236,0.182,0.556,0.737,0.429,0.333,0.462,0.1,0.48,0,0.036,2,0.1,1,1,0
2016-17,26,MIN,NBA,SG,6,67,0.476,14.2,0.905,0.19,0.048,0.238,0.429,0.095,0.526,0.75,1,0,0.667,0,0.4,,0,0,0,,0,0
2016-17,26,IND,NBA,SG,6,132,0.409,14,0.818,0.159,0.182,0.159,0.318,0.182,0.361,0.714,0.375,0.286,0.214,0.625,0.231,0.8,0,0,0.125,1,0,0
2017-18,27,IND,NBA,SG,82,1850,0.427,14.7,0.673,0.292,0.086,0.072,0.223,0.327,0.495,0.623,0.311,0.49,0.399,0.289,0.237,0.716,0.025,14,0.194,0.356,9,0
2018-19,28,LAL,NBA,SG,68,1123,0.426,16.6,0.544,0.243,0.083,0.044,0.174,0.456,0.472,0.6,0.278,0.474,0.387,0.371,0.324,0.781,0.014,5,0.269,0.472,4,0
2021-22,31,TOT,NBA,"PG,SG",46,814,0.455,14.3,0.721,0.22,0.164,0.08,0.257,0.279,0.515,0.662,0.547,0.423,0.398,0.3,0.2,0.593,0.003,1,0.178,0.375,0,0
2021-22,31,ATL,NBA,SG,6,70,0.385,15.5,0.769,0.231,0,0.154,0.385,0.231,0.5,0.667,,0.5,0.4,0,0.6,,0,0,0.333,0,0,0
2021-22,31,IND,NBA,PG,40,744,0.458,14.2,0.719,0.219,0.171,0.077,0.252,0.281,0.516,0.662,0.547,0.417,0.397,0.31,0.183,0.593,0.003,1,0.172,0.4,0,0
