Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,NOH,NBA,SF,59,646,0.5,6.9,1,0.5,0.208,0.104,0.189,0,0.5,0.66,0.182,0.364,0.5,,0.698,,0.038,2,,,0,0
2013-14,25,NOP,NBA,SF,5,42,0.222,6,1,0.444,0.333,0.111,0.111,0,0.222,0,0.667,0,0,,1,,0,0,,,0,0
2014-15,26,TOT,NBA,"PF,SF",62,1490,0.412,11.1,0.95,0.217,0.213,0.183,0.337,0.05,0.417,0.594,0.351,0.432,0.336,0.318,0.646,1,0.029,10,0.864,0.368,0,0
2014-15,26,OKC,NBA,SF,22,450,0.357,9.6,0.992,0.254,0.262,0.151,0.325,0.008,0.36,0.469,0.303,0.526,0.244,0,0.644,,0.032,2,0,,0,0
2014-15,26,NYK,NBA,PF,40,1040,0.434,11.7,0.934,0.203,0.193,0.196,0.342,0.066,0.441,0.656,0.377,0.403,0.37,0.333,0.646,1,0.028,8,0.905,0.368,0,0
2015-16,27,NYK,NBA,PF,59,1313,0.442,13.4,0.715,0.217,0.183,0.105,0.209,0.285,0.458,0.578,0.357,0.45,0.425,0.404,0.592,0.909,0.026,10,0.541,0.39,1,0
2016-17,28,NYK,NBA,PF,46,968,0.398,15.1,0.652,0.217,0.152,0.061,0.221,0.348,0.371,0.415,0.351,0.333,0.352,0.447,0.441,0.974,0.008,2,0.471,0.45,0,0
2017-18,29,NYK,NBA,PF,73,1353,0.382,15.3,0.536,0.228,0.127,0.049,0.131,0.464,0.364,0.508,0.147,0.308,0.343,0.403,0.5,1,0.034,8,0.452,0.446,0,0
2018-19,30,NYK,NBA,PF,46,783,0.396,15.1,0.599,0.218,0.137,0.076,0.168,0.401,0.475,0.651,0.333,0.333,0.424,0.278,0.732,1,0.056,8,0.544,0.302,0,0
2019-20,31,BRK,NBA,PF,7,98,0.348,18.7,0.435,0.087,0.087,0.13,0.13,0.565,0.4,0.5,0.5,0,0.667,0.308,0.75,1,0,0,0.769,0.3,0,0
