Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,23,NYK,NBA,PG,45,1457,0.399,15.7,0.656,0.219,0.088,0.082,0.266,0.344,0.424,0.5,0.267,0.357,0.434,0.352,0.472,0.742,0.02,9,0.131,0.304,5,1
2015-16,24,NYK,NBA,PG,82,2033,0.393,15.4,0.619,0.235,0.097,0.06,0.228,0.381,0.423,0.58,0.421,0.371,0.276,0.344,0.468,0.844,0.003,2,0.263,0.475,6,0
2016-17,25,TOT,NBA,PG,74,1495,0.38,20.3,0.435,0.09,0.061,0.057,0.229,0.565,0.367,0.51,0.121,0.355,0.376,0.39,0.46,0.917,0,0,0.149,0.37,2,0
2016-17,25,NOP,NBA,PG,55,1120,0.374,20.8,0.392,0.095,0.05,0.05,0.2,0.608,0.37,0.5,0.182,0.364,0.352,0.377,0.453,0.901,0,0,0.149,0.4,2,0
2016-17,25,SAC,NBA,PG,19,375,0.404,18.4,0.615,0.067,0.106,0.087,0.356,0.385,0.359,0.571,0,0.333,0.432,0.475,0.478,1,0,0,0.15,0.167,0,0
2017-18,26,DET,NBA,SG,58,863,0.371,20.7,0.359,0.038,0.076,0.085,0.159,0.641,0.418,0.692,0.346,0.483,0.352,0.344,0.451,0.92,0,0,0.202,0.364,0,0
2018-19,27,DET,NBA,SG,80,1745,0.388,19.5,0.353,0.099,0.104,0.06,0.09,0.647,0.449,0.517,0.426,0.371,0.453,0.355,0.839,0.985,0,0,0.374,0.415,0,0
2019-20,28,DET,NBA,SG,66,1702,0.435,18.6,0.389,0.109,0.137,0.076,0.068,0.611,0.493,0.678,0.392,0.439,0.459,0.399,0.712,0.992,0.002,1,0.381,0.54,1,0
2020-21,29,PHO,NBA,SG,40,438,0.449,19.3,0.422,0.054,0.109,0.143,0.116,0.578,0.484,0.5,0.5,0.524,0.412,0.424,0.8,1,0,0,0.494,0.429,1,0
2021-22,30,TOT,NBA,SG,7,107,0.231,19.4,0.385,0.115,0.038,0.115,0.115,0.615,0.4,0.333,0,0.667,0.333,0.125,0.5,0.5,0,0,0.375,0,0,0
2021-22,30,BRK,NBA,SG,4,58,0.385,19,0.385,0.154,0,0.154,0.077,0.615,0.6,0.5,,1,0,0.25,0.667,0.5,0,0,0.25,0,0,0
2021-22,30,MIL,NBA,SG,3,49,0.077,19.9,0.385,0.077,0.077,0.077,0.154,0.615,0.2,0,0,0,0.5,0,0,,0,0,0.5,0,0,0
