Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,23,LAL,NBA,PF,63,1266,0.527,8.1,0.967,0.463,0.15,0.097,0.257,0.033,0.541,0.683,0.467,0.345,0.403,0.1,0.739,1,0.197,53,0.5,0.2,2,0
2016-17,24,LAL,NBA,PF,63,1442,0.526,9.3,0.9,0.416,0.186,0.114,0.191,0.1,0.554,0.7,0.478,0.317,0.435,0.278,0.756,1,0.169,60,0.306,0.182,2,0
2017-18,25,TOT,NBA,C,66,1421,0.581,6.1,0.971,0.581,0.157,0.087,0.148,0.029,0.594,0.733,0.369,0.333,0.426,0.167,0.744,1,0.269,94,0.25,0,3,0
2017-18,25,LAL,NBA,C,42,922,0.601,5.7,0.984,0.601,0.15,0.099,0.138,0.016,0.606,0.763,0.421,0.24,0.371,0.25,0.715,1,0.269,59,0.25,0,2,0
2017-18,25,CLE,NBA,C,24,499,0.55,6.7,0.95,0.55,0.169,0.069,0.163,0.05,0.572,0.682,0.296,0.545,0.5,0.125,0.793,1,0.269,35,0.25,0,1,0
2018-19,26,CLE,NBA,C,67,1795,0.52,9.5,0.795,0.468,0.154,0.09,0.084,0.205,0.567,0.728,0.351,0.349,0.3,0.337,0.648,0.97,0.196,82,0.173,0.235,1,0
2019-20,27,CLE,NBA,PF,56,1472,0.531,12.5,0.631,0.394,0.109,0.074,0.053,0.369,0.636,0.753,0.447,0.375,0.522,0.352,0.613,0.982,0.188,73,0.27,0.419,2,0
2020-21,28,CLE,NBA,PF,35,1091,0.471,13.5,0.581,0.313,0.162,0.059,0.048,0.419,0.551,0.682,0.432,0.25,0.462,0.36,0.747,0.951,0.169,42,0.281,0.344,0,0
2021-22,29,TOT,NBA,"C,PF",46,1040,0.522,9.9,0.717,0.466,0.17,0.057,0.024,0.283,0.599,0.704,0.476,0.214,0.333,0.329,0.689,1,0.194,43,0.3,0.381,1,0
2021-22,29,POR,NBA,C,37,858,0.515,10.5,0.687,0.449,0.162,0.051,0.025,0.313,0.61,0.674,0.563,0.3,0.4,0.306,0.663,1,0.202,35,0.274,0.294,1,0
2021-22,29,NOP,NBA,PF,9,182,0.551,7.6,0.837,0.531,0.204,0.082,0.02,0.163,0.561,0.808,0.2,0,0,0.5,0.783,1,0.163,8,0.5,0.75,0,0
2022-23,30,NOP,NBA,C,65,1381,0.61,6.9,0.862,0.482,0.292,0.059,0.03,0.138,0.654,0.769,0.551,0.389,0.333,0.333,0.762,1,0.223,66,0.571,0.417,0,0
