Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,28,MIA,NBA,PF,76,2877,0.565,11.2,0.812,0.373,0.133,0.105,0.202,0.188,0.602,0.776,0.494,0.415,0.447,0.406,0.378,0.553,0.109,144,0.161,0.488,0,0
2013-14,29,MIA,NBA,PF,77,2902,0.567,11.4,0.774,0.399,0.123,0.084,0.168,0.226,0.622,0.796,0.554,0.404,0.366,0.379,0.395,0.534,0.101,134,0.144,0.568,0,0
2014-15,30,CLE,NBA,SF,69,2493,0.488,12.1,0.735,0.334,0.125,0.116,0.159,0.265,0.536,0.721,0.413,0.356,0.377,0.354,0.315,0.467,0.072,88,0.115,0.385,1,0
2015-16,31,CLE,NBA,SF,76,2709,0.52,9.6,0.801,0.459,0.119,0.093,0.129,0.199,0.573,0.722,0.361,0.348,0.404,0.309,0.378,0.598,0.083,111,0.117,0.273,0,0
2016-17,32,CLE,NBA,SF,74,2794,0.548,11,0.746,0.432,0.106,0.105,0.102,0.254,0.611,0.78,0.385,0.44,0.307,0.363,0.355,0.492,0.112,145,0.102,0.371,0,0
2017-18,33,CLE,NBA,PF,82,3026,0.542,10.9,0.743,0.423,0.114,0.089,0.118,0.257,0.603,0.766,0.378,0.421,0.371,0.367,0.301,0.356,0.08,120,0.084,0.382,1,0
2018-19,34,LAL,NBA,SF,55,1937,0.51,12.3,0.701,0.38,0.132,0.077,0.112,0.299,0.582,0.755,0.297,0.417,0.447,0.339,0.34,0.342,0.081,85,0.073,0.292,0,0
2019-20,35,LAL,NBA,PG,67,2316,0.493,12.9,0.674,0.365,0.139,0.073,0.097,0.326,0.564,0.727,0.409,0.337,0.341,0.348,0.234,0.473,0.062,79,0.061,0.5,1,0
2020-21,36,LAL,NBA,PG,45,1504,0.513,13.9,0.654,0.318,0.118,0.104,0.113,0.346,0.591,0.782,0.474,0.384,0.366,0.365,0.327,0.519,0.062,48,0.077,0.455,0,0
2021-22,37,LAL,NBA,C,56,2084,0.524,13.8,0.633,0.325,0.141,0.073,0.094,0.367,0.62,0.796,0.465,0.382,0.426,0.359,0.407,0.559,0.07,85,0.074,0.303,0,0
2022-23,38,LAL,NBA,PF,55,1954,0.5,12.8,0.691,0.302,0.197,0.084,0.107,0.309,0.58,0.788,0.463,0.34,0.397,0.321,0.395,0.628,0.062,74,0.08,0.267,0,0
