Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,ATL,NBA,SG,39,1119,0.422,17,0.558,0.176,0.106,0.099,0.176,0.442,0.466,0.679,0.255,0.477,0.372,0.367,0.304,0.681,0.025,11,0.27,0.472,1,0
2013-14,27,ATL,NBA,PG,60,1445,0.4,17.3,0.531,0.136,0.138,0.085,0.172,0.469,0.45,0.672,0.471,0.262,0.353,0.342,0.373,0.608,0.006,3,0.286,0.348,3,0
2014-15,28,TOR,NBA,SG,80,2016,0.404,17.4,0.518,0.112,0.125,0.124,0.157,0.482,0.464,0.529,0.483,0.409,0.445,0.34,0.283,0.559,0.006,6,0.23,0.485,1,0
2015-16,29,LAL,NBA,SG,67,1907,0.408,16.3,0.538,0.153,0.126,0.121,0.14,0.462,0.464,0.594,0.437,0.345,0.443,0.344,0.295,0.655,0.009,4,0.259,0.361,1,0
2016-17,30,TOT,NBA,SG,81,1994,0.429,15.4,0.553,0.207,0.172,0.113,0.062,0.447,0.48,0.614,0.424,0.363,0.371,0.365,0.245,0.601,0.007,7,0.193,0.477,2,1
2016-17,30,LAL,NBA,SG,58,1403,0.444,15.2,0.568,0.204,0.187,0.117,0.064,0.432,0.489,0.647,0.423,0.36,0.383,0.385,0.225,0.557,0.007,5,0.167,0.509,1,1
2016-17,30,HOU,NBA,SG,23,591,0.386,15.9,0.511,0.216,0.133,0.102,0.057,0.489,0.452,0.526,0.429,0.37,0.333,0.318,0.311,0.732,0.008,2,0.256,0.424,1,0
2017-18,31,LAC,NBA,SG,79,2589,0.435,14.7,0.613,0.222,0.146,0.12,0.123,0.387,0.484,0.603,0.379,0.472,0.406,0.359,0.242,0.651,0.01,13,0.195,0.277,4,1
2018-19,32,LAC,NBA,SG,75,1993,0.425,13.7,0.744,0.221,0.185,0.163,0.176,0.256,0.447,0.578,0.398,0.432,0.35,0.361,0.224,0.581,0.004,4,0.117,0.441,0,0
2019-20,33,LAC,NBA,PG,65,1864,0.418,14.8,0.663,0.193,0.183,0.145,0.142,0.337,0.451,0.575,0.409,0.368,0.421,0.352,0.207,0.64,0.005,3,0.229,0.347,1,0
2020-21,34,TOT,NBA,PG,66,1423,0.41,14.4,0.732,0.132,0.203,0.226,0.172,0.268,0.414,0.624,0.359,0.404,0.333,0.399,0.276,0.58,0,0,0.283,0.408,0,0
2020-21,34,LAC,NBA,PG,42,918,0.421,14.4,0.723,0.128,0.223,0.205,0.167,0.277,0.437,0.709,0.385,0.42,0.319,0.378,0.316,0.733,0,0,0.303,0.417,0,0
2020-21,34,ATL,NBA,PG,24,505,0.389,14.2,0.75,0.139,0.162,0.269,0.181,0.25,0.37,0.467,0.286,0.379,0.359,0.444,0.183,0.292,0,0,0.241,0.385,0,0
2021-22,35,ATL,NBA,PG,56,799,0.391,15.3,0.681,0.116,0.159,0.244,0.163,0.319,0.404,0.514,0.392,0.372,0.385,0.363,0.341,0.73,0.003,1,0.373,0.421,0,0
