Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,MIL,NBA,SF,58,1326,0.401,8.9,0.902,0.467,0.135,0.061,0.239,0.098,0.406,0.477,0.373,0.174,0.344,0.351,0.667,1,0.024,8,0.838,0.355,0,0
2013-14,27,TOT,NBA,"PF,SF",64,1003,0.451,8.2,0.912,0.57,0.093,0.021,0.228,0.088,0.472,0.564,0.333,0,0.341,0.235,0.699,1,0.073,11,0.824,0.286,0,0
2013-14,27,SAC,NBA,SF,9,196,0.469,7.5,0.906,0.531,0.219,0,0.156,0.094,0.483,0.529,0.143,,0.8,0.333,0.857,1,0.156,3,1,0.333,0,0
2013-14,27,MIN,NBA,PF,55,807,0.447,8.3,0.913,0.578,0.068,0.025,0.242,0.087,0.469,0.57,0.455,0,0.282,0.214,0.667,1,0.056,8,0.786,0.273,0,0
2014-15,28,PHI,NBA,PF,67,1916,0.395,13.8,0.682,0.305,0.086,0.038,0.253,0.318,0.435,0.562,0.236,0.292,0.373,0.307,0.63,0.968,0.027,15,0.163,0.333,1,0
2015-16,29,LAC,NBA,PF,75,1274,0.454,8.2,0.807,0.536,0.116,0.029,0.126,0.193,0.485,0.541,0.458,0,0.385,0.325,0.901,1,0.063,10,0.9,0.333,0,0
2016-17,30,LAC,NBA,SF,80,1787,0.505,11.9,0.709,0.45,0.048,0.016,0.196,0.291,0.552,0.624,0.167,0.333,0.5,0.391,0.811,0.977,0.074,25,0.745,0.415,0,0
2017-18,31,HOU,NBA,PF,61,1564,0.481,13.2,0.499,0.403,0.075,0,0.02,0.501,0.599,0.676,0.346,,0,0.364,0.777,0.984,0.072,25,0.41,0.282,0,0
2018-19,32,LAC,NBA,PF,4,61,0.444,10.7,0.667,0.444,0.167,0,0.056,0.333,0.5,0.5,0.333,,1,0.333,0.667,1,0,0,0.5,0,0,0
2019-20,33,HOU,NBA,PF,3,25,0.4,12.2,0.6,0.6,0,0,0,0.4,0.667,0.667,,,,0,0,,0,0,0,,0,0
