Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2017-18,22,NYK,NBA,C,20,326,0.392,18.2,0.368,0.192,0.08,0.056,0.04,0.632,0.457,0.708,0.1,0.429,0,0.354,0.81,0.964,0.056,7,0.114,0.333,0,0
2018-19,23,NYK,NBA,C,46,784,0.378,20,0.318,0.138,0.053,0.102,0.025,0.682,0.411,0.564,0.333,0.276,0.286,0.363,0.595,0.986,0.039,9,0.13,0.44,0,0
2019-20,24,CHI,NBA,C,36,559,0.439,16.1,0.422,0.289,0.102,0.021,0.011,0.578,0.646,0.741,0.474,0.5,0,0.287,0.863,1,0.134,23,0.213,0.174,0,0
2020-21,25,TOT,NBA,C,31,348,0.436,16.4,0.416,0.297,0.099,0.01,0.01,0.584,0.69,0.767,0.5,0,1,0.254,0.724,1,0.129,13,0.186,0.273,0,0
2020-21,25,CHI,NBA,C,13,94,0.333,22.4,0.148,0.111,0.037,0,0,0.852,0.75,0.667,1,,,0.261,0.667,1,0.037,1,0.174,0.75,0,0
2020-21,25,BOS,NBA,C,18,254,0.473,14.2,0.514,0.365,0.122,0.014,0.014,0.486,0.684,0.778,0.444,0,1,0.25,0.731,1,0.162,12,0.194,0,0,0
2021-22,26,TOT,NBA,C,15,103,0.481,7.2,0.815,0.519,0.222,0.074,0,0.185,0.591,0.643,0.667,0,,0,0.692,,0.185,4,0,,0,0
2021-22,26,CLE,NBA,C,2,15,0.2,7.7,0.8,0.6,0.2,0,0,0.2,0.25,0.333,0,,,0,1,,0,0,0,,0,0
2021-22,26,MIL,NBA,C,1,3,0,11.9,1,0,0,1,0,0,0,,,0,,,,,0,0,,,0,0
2021-22,26,BOS,NBA,C,12,85,0.571,6.9,0.81,0.524,0.238,0.048,0,0.19,0.706,0.727,0.8,0,,0,0.667,,0.238,4,0,,0,0
2022-23,27,BOS,NBA,C,69,804,0.665,4.6,0.924,0.647,0.206,0.041,0,0.076,0.701,0.773,0.6,0.286,,0.231,0.745,1,0.371,59,0.538,0.286,1,0
