Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2016-17,20,DEN,NBA,SG,22,165,0.452,12.4,0.616,0.466,0.014,0.068,0.068,0.384,0.533,0.618,0,0.2,0.4,0.321,0.417,1,0.068,4,0.429,0.417,0,0
2017-18,21,DEN,NBA,SG,62,583,0.41,14.6,0.539,0.242,0.163,0.051,0.084,0.461,0.469,0.605,0.345,0.333,0.4,0.341,0.711,0.929,0.056,10,0.354,0.31,0,0
2018-19,22,DEN,NBA,SG,81,1879,0.474,16.8,0.45,0.202,0.115,0.064,0.069,0.55,0.56,0.732,0.365,0.553,0.392,0.402,0.758,0.982,0.072,45,0.188,0.461,1,0
2019-20,23,TOT,NBA,SG,55,1209,0.425,16.7,0.483,0.189,0.129,0.096,0.069,0.517,0.465,0.634,0.261,0.471,0.378,0.388,0.667,0.888,0.03,13,0.185,0.451,1,0
2019-20,23,DEN,NBA,SG,41,746,0.389,17.7,0.465,0.143,0.13,0.103,0.09,0.535,0.421,0.581,0.231,0.452,0.407,0.36,0.644,0.966,0.023,5,0.193,0.419,1,0
2019-20,23,MIN,NBA,SG,14,463,0.472,15.5,0.506,0.249,0.129,0.086,0.043,0.494,0.517,0.672,0.3,0.5,0.3,0.426,0.689,0.796,0.039,8,0.174,0.5,0,0
2020-21,24,MIN,NBA,SG,37,1214,0.44,16.4,0.465,0.192,0.148,0.075,0.05,0.535,0.487,0.6,0.449,0.267,0.5,0.399,0.632,0.875,0.027,13,0.268,0.453,0,0
2021-22,25,MIN,NBA,SG,79,1976,0.391,20.8,0.251,0.088,0.066,0.052,0.045,0.749,0.432,0.587,0.357,0.341,0.342,0.377,0.652,0.904,0.02,16,0.319,0.404,4,0
2022-23,26,TOT,NBA,SG,81,2093,0.395,21,0.298,0.036,0.131,0.073,0.058,0.702,0.484,0.706,0.528,0.353,0.407,0.357,0.511,0.855,0.006,4,0.167,0.373,3,0
2022-23,26,UTA,NBA,SG,55,1472,0.396,21.1,0.296,0.028,0.135,0.07,0.063,0.704,0.485,0.632,0.511,0.404,0.452,0.359,0.5,0.817,0.006,2,0.185,0.356,3,0
2022-23,26,LAL,NBA,SG,26,621,0.392,20.7,0.302,0.056,0.123,0.078,0.045,0.698,0.481,0.8,0.576,0.238,0.25,0.353,0.538,0.955,0.007,2,0.123,0.435,0,0
