Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,28,MEM,NBA,C,80,2796,0.494,10,0.984,0.221,0.311,0.247,0.205,0.016,0.501,0.651,0.437,0.451,0.494,0.071,0.654,1,0.038,33,0,,2,0
2013-14,29,MEM,NBA,C,59,1970,0.473,10.6,0.985,0.188,0.3,0.269,0.228,0.015,0.477,0.739,0.432,0.44,0.364,0.182,0.695,0.5,0.032,22,0,,5,1
2014-15,30,MEM,NBA,C,81,2687,0.494,9.6,0.984,0.241,0.281,0.221,0.242,0.016,0.5,0.698,0.468,0.43,0.402,0.176,0.628,0.667,0.054,56,0,,3,0
2015-16,31,MEM,NBA,C,52,1791,0.464,10.2,0.996,0.164,0.328,0.24,0.263,0.004,0.463,0.595,0.448,0.424,0.435,0.667,0.69,1,0.031,19,0.333,0,0,0
2016-17,32,MEM,NBA,C,74,2531,0.459,13.9,0.769,0.129,0.255,0.196,0.189,0.231,0.48,0.673,0.48,0.441,0.388,0.388,0.57,0.981,0.022,23,0.019,0.4,2,0
2017-18,33,MEM,NBA,C,73,2408,0.42,14.3,0.69,0.159,0.207,0.185,0.139,0.31,0.456,0.665,0.346,0.366,0.5,0.341,0.662,0.972,0.035,34,0.022,0.429,3,0
2018-19,34,TOT,NBA,C,79,2436,0.448,14.3,0.686,0.156,0.248,0.163,0.118,0.314,0.487,0.654,0.468,0.373,0.466,0.363,0.715,0.99,0.031,23,0.026,0.286,0,0
2018-19,34,MEM,NBA,C,53,1788,0.444,14.5,0.676,0.154,0.243,0.16,0.12,0.324,0.491,0.676,0.452,0.385,0.476,0.344,0.705,1,0.035,20,0.032,0.286,0,0
2018-19,34,TOR,NBA,C,26,648,0.465,13.5,0.722,0.166,0.267,0.176,0.112,0.278,0.474,0.581,0.52,0.333,0.429,0.442,0.75,0.957,0.016,3,0,,0,0
2019-20,35,TOR,NBA,C,44,1161,0.427,17.3,0.47,0.125,0.179,0.115,0.05,0.53,0.473,0.629,0.54,0.375,0.071,0.385,0.661,1,0.032,8,0.095,0.429,0,0
2020-21,36,LAL,NBA,C,52,993,0.454,19.3,0.371,0.093,0.134,0.119,0.026,0.629,0.528,0.778,0.5,0.391,0.4,0.41,0.737,0.98,0.015,3,0.082,0.5,0,0
