Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,CHI,NBA,SG,73,1882,0.395,15.7,0.638,0.248,0.084,0.067,0.239,0.362,0.416,0.536,0.275,0.415,0.342,0.357,0.593,0.848,0.011,7,0.213,0.277,4,0
2013-14,27,SAS,NBA,SF,80,2016,0.485,17,0.578,0.178,0.094,0.081,0.226,0.422,0.525,0.734,0.354,0.482,0.446,0.43,0.739,0.897,0.006,3,0.287,0.452,3,0
2014-15,28,SAS,NBA,SG,62,1388,0.423,18,0.511,0.13,0.079,0.077,0.226,0.489,0.471,0.607,0.27,0.472,0.462,0.374,0.637,0.919,0.004,2,0.235,0.444,1,0
2015-16,29,SAC,NBA,SG,68,1672,0.386,19.7,0.532,0.068,0.052,0.066,0.346,0.468,0.456,0.767,0.303,0.405,0.427,0.306,0.805,0.912,0.008,5,0.152,0.4,5,0
2016-17,30,CHO,NBA,SG,74,1778,0.429,18.7,0.54,0.132,0.052,0.052,0.306,0.46,0.488,0.667,0.344,0.469,0.436,0.36,0.679,0.853,0.003,1,0.145,0.463,1,0
2017-18,31,TOT,NBA,SG,80,1947,0.441,18.9,0.483,0.126,0.05,0.064,0.242,0.517,0.509,0.667,0.342,0.51,0.465,0.377,0.803,0.879,0.008,4,0.144,0.404,2,0
2017-18,31,ATL,NBA,SG,52,1210,0.41,18.9,0.491,0.122,0.045,0.074,0.247,0.509,0.45,0.576,0.273,0.472,0.417,0.372,0.738,0.837,0.01,3,0.15,0.432,2,0
2017-18,31,PHI,NBA,SG,28,737,0.495,19,0.47,0.133,0.057,0.047,0.233,0.53,0.618,0.811,0.438,0.615,0.554,0.385,0.889,0.947,0.004,1,0.135,0.35,0,0
2018-19,32,SAS,NBA,SG,79,1815,0.413,19.7,0.428,0.112,0.067,0.088,0.161,0.572,0.468,0.584,0.478,0.361,0.441,0.372,0.775,0.844,0.004,2,0.167,0.394,4,0
2019-20,33,SAS,NBA,SG,57,883,0.392,20.5,0.433,0.086,0.048,0.048,0.252,0.567,0.412,0.667,0.2,0.333,0.38,0.376,0.893,0.896,0,0,0.219,0.41,0,0
