Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,TOT,NBA,"PF,SF",77,1524,0.422,15.3,0.557,0.251,0.12,0.059,0.127,0.443,0.464,0.689,0.286,0.323,0.254,0.369,0.581,0.942,0.065,31,0.472,0.336,4,0
2012-13,23,HOU,NBA,PF,54,1154,0.428,15.9,0.515,0.233,0.115,0.055,0.113,0.485,0.471,0.656,0.348,0.318,0.289,0.381,0.557,0.973,0.053,19,0.495,0.313,3,0
2012-13,23,PHO,NBA,SF,23,370,0.405,13.5,0.69,0.31,0.135,0.071,0.175,0.31,0.448,0.769,0.118,0.333,0.182,0.308,0.641,0.75,0.103,12,0.359,0.5,1,0
2013-14,24,PHO,NBA,SF,82,1800,0.442,16.5,0.601,0.169,0.077,0.167,0.187,0.399,0.483,0.655,0.34,0.486,0.385,0.381,0.439,0.949,0.02,12,0.392,0.373,3,0
2014-15,25,PHO,NBA,PF,81,2045,0.434,16.2,0.59,0.155,0.096,0.155,0.185,0.41,0.487,0.593,0.384,0.483,0.454,0.358,0.443,0.902,0.014,10,0.329,0.408,7,1
2015-16,26,DET,NBA,SF,80,2856,0.434,15,0.685,0.158,0.106,0.213,0.211,0.315,0.467,0.671,0.34,0.383,0.457,0.362,0.348,0.926,0.016,15,0.285,0.329,2,0
2016-17,27,DET,NBA,SF,79,2565,0.418,17.3,0.645,0.113,0.086,0.192,0.255,0.355,0.466,0.623,0.356,0.43,0.459,0.331,0.38,0.915,0.007,7,0.154,0.436,6,0
2017-18,28,BOS,NBA,PF,54,1442,0.429,16.5,0.617,0.139,0.128,0.16,0.19,0.383,0.467,0.612,0.41,0.398,0.457,0.368,0.483,0.919,0.018,10,0.175,0.341,9,0
2018-19,29,BOS,NBA,PF,75,2091,0.447,16.6,0.539,0.174,0.117,0.143,0.104,0.461,0.508,0.68,0.455,0.38,0.455,0.375,0.528,0.938,0.017,13,0.144,0.232,4,0
2019-20,30,TOT,NBA,"PF,SF",62,1936,0.438,17.7,0.57,0.089,0.128,0.172,0.181,0.43,0.461,0.583,0.356,0.504,0.435,0.408,0.366,0.789,0.004,3,0.221,0.442,4,0
2019-20,30,NYK,NBA,SF,43,1387,0.442,17.6,0.585,0.09,0.138,0.168,0.189,0.415,0.444,0.561,0.341,0.486,0.425,0.439,0.291,0.767,0.002,1,0.189,0.5,4,0
2019-20,30,LAC,NBA,PF,19,549,0.425,18,0.517,0.086,0.092,0.184,0.155,0.483,0.533,0.667,0.438,0.563,0.481,0.31,0.625,0.885,0.011,2,0.321,0.333,0,0
2020-21,31,LAC,NBA,PF,57,1502,0.473,18.4,0.493,0.082,0.098,0.2,0.113,0.507,0.472,0.604,0.316,0.504,0.455,0.473,0.456,0.936,0.007,3,0.318,0.564,3,0
2021-22,32,LAC,NBA,PF,54,1564,0.434,17.6,0.602,0.046,0.145,0.24,0.171,0.398,0.478,0.688,0.49,0.47,0.424,0.367,0.327,0.901,0.001,0,0.215,0.373,2,0
2022-23,33,LAC,NBA,PF,65,1825,0.426,18.2,0.521,0.07,0.118,0.199,0.134,0.479,0.484,0.711,0.5,0.414,0.453,0.364,0.414,0.955,0.008,5,0.231,0.31,2,0
