Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,25,SAC,NBA,SG,72,1726,0.429,16.9,0.51,0.186,0.115,0.058,0.151,0.49,0.484,0.701,0.416,0.333,0.325,0.372,0.576,0.887,0.001,1,0.201,0.408,1,0
2013-14,26,TOT,NBA,SG,72,1741,0.394,17,0.505,0.169,0.138,0.05,0.149,0.495,0.443,0.565,0.375,0.5,0.347,0.345,0.497,0.844,0,0,0.184,0.379,0,0
2013-14,26,SAC,NBA,SG,46,1121,0.381,17.1,0.52,0.142,0.161,0.051,0.166,0.48,0.438,0.66,0.35,0.421,0.339,0.318,0.541,0.86,0,0,0.168,0.3,0,0
2013-14,26,BRK,NBA,SG,26,620,0.414,16.8,0.485,0.207,0.105,0.049,0.124,0.515,0.45,0.473,0.429,0.615,0.364,0.38,0.431,0.827,0,0,0.204,0.464,0,0
2014-15,27,TOT,NBA,SG,48,721,0.406,15.4,0.586,0.223,0.13,0.046,0.186,0.414,0.426,0.494,0.467,0.125,0.391,0.378,0.488,0.87,0,0,0.147,0.429,1,0
2014-15,27,BOS,NBA,SG,39,640,0.416,15.3,0.593,0.23,0.131,0.046,0.187,0.407,0.414,0.5,0.45,0.071,0.368,0.419,0.48,0.865,0,0,0.145,0.5,1,0
2014-15,27,PHO,NBA,SG,9,81,0.325,16.2,0.525,0.175,0.125,0.05,0.175,0.475,0.524,0.429,0.6,0.5,0.571,0.105,0.545,1,0,0,0.158,0,0,0
2015-16,28,TOT,NBA,SG,61,1109,0.399,16.4,0.502,0.192,0.116,0.079,0.113,0.498,0.46,0.587,0.333,0.419,0.41,0.337,0.424,0.857,0,0,0.211,0.386,4,0
2015-16,28,HOU,NBA,SG,47,885,0.4,16.2,0.503,0.193,0.12,0.078,0.113,0.497,0.461,0.56,0.346,0.353,0.49,0.338,0.416,0.849,0,0,0.204,0.409,3,0
2015-16,28,WAS,NBA,SG,14,224,0.393,17.1,0.495,0.187,0.103,0.084,0.112,0.505,0.453,0.7,0.273,0.667,0.083,0.333,0.458,0.889,0,0,0.241,0.308,1,0
2016-17,29,WAS,NBA,SG,33,575,0.4,15.1,0.619,0.214,0.171,0.071,0.162,0.381,0.431,0.6,0.333,0.467,0.294,0.35,0.482,0.75,0,0,0.188,0.2,0,0
