Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,PHO,NBA,PF,82,1837,0.407,12.9,0.795,0.279,0.135,0.133,0.248,0.205,0.426,0.588,0.25,0.287,0.414,0.336,0.647,0.978,0.072,39,0.254,0.294,2,0
2013-14,24,PHO,NBA,PF,81,2153,0.486,11.4,0.872,0.288,0.174,0.22,0.191,0.128,0.512,0.658,0.401,0.478,0.429,0.315,0.528,0.882,0.076,62,0.111,0.333,5,0
2014-15,25,PHO,NBA,PF,82,2581,0.465,12,0.837,0.229,0.163,0.246,0.199,0.163,0.494,0.611,0.436,0.502,0.397,0.318,0.523,0.982,0.053,48,0.145,0.269,2,0
2015-16,26,TOT,NBA,PF,64,1629,0.425,12.5,0.784,0.258,0.142,0.182,0.202,0.216,0.458,0.6,0.353,0.435,0.372,0.303,0.605,0.979,0.075,49,0.142,0.318,2,1
2015-16,26,PHO,NBA,PF,37,917,0.397,11.6,0.824,0.283,0.165,0.181,0.195,0.176,0.42,0.549,0.31,0.41,0.333,0.289,0.523,1,0.063,23,0.079,0.167,1,0
2015-16,26,WAS,NBA,PF,27,712,0.467,14,0.725,0.22,0.108,0.185,0.213,0.275,0.524,0.698,0.452,0.472,0.426,0.316,0.716,0.96,0.094,26,0.203,0.375,1,1
2016-17,27,WAS,NBA,PF,76,2374,0.457,11.9,0.78,0.287,0.181,0.154,0.157,0.22,0.483,0.612,0.422,0.401,0.4,0.362,0.597,0.972,0.083,65,0.332,0.323,0,0
2017-18,28,WAS,NBA,PF,73,1968,0.48,13.8,0.699,0.194,0.157,0.233,0.115,0.301,0.529,0.699,0.491,0.506,0.342,0.367,0.669,1,0.045,23,0.271,0.321,5,0
2018-19,29,TOT,NBA,PF,58,1270,0.421,14.6,0.581,0.221,0.169,0.151,0.039,0.419,0.484,0.654,0.415,0.342,0.368,0.335,0.581,0.985,0.035,15,0.241,0.286,1,0
2018-19,29,WAS,NBA,PF,34,883,0.436,15.2,0.561,0.207,0.159,0.159,0.037,0.439,0.516,0.706,0.423,0.385,0.417,0.333,0.579,0.979,0.04,12,0.174,0.32,1,0
2018-19,29,OKC,NBA,PF,24,387,0.391,13.3,0.622,0.25,0.192,0.135,0.045,0.378,0.423,0.564,0.4,0.238,0.286,0.339,0.585,1,0.026,3,0.407,0.25,0,0
2019-20,30,TOT,NBA,PF,58,1187,0.443,16.1,0.502,0.194,0.151,0.127,0.031,0.498,0.5,0.674,0.42,0.328,0.5,0.386,0.635,0.977,0.048,20,0.298,0.382,4,0
2019-20,30,DET,NBA,PF,44,988,0.45,16,0.514,0.195,0.157,0.129,0.033,0.486,0.5,0.671,0.443,0.32,0.462,0.397,0.63,1,0.041,15,0.286,0.426,3,0
2019-20,30,LAL,NBA,PF,14,199,0.406,17.2,0.435,0.188,0.116,0.116,0.014,0.565,0.5,0.692,0.25,0.375,1,0.333,0.667,0.846,0.087,5,0.359,0.214,1,0
2020-21,31,LAL,NBA,PF,61,1200,0.405,17.6,0.447,0.132,0.138,0.119,0.058,0.553,0.521,0.7,0.5,0.444,0.318,0.311,0.545,1,0.016,5,0.33,0.333,1,0
2021-22,32,MIA,NBA,PF,17,298,0.474,14.8,0.658,0.14,0.175,0.228,0.114,0.342,0.547,0.75,0.45,0.5,0.538,0.333,0.512,1,0.044,4,0.487,0.368,0,0
2022-23,33,TOT,NBA,PF,35,355,0.409,19.7,0.383,0.061,0.087,0.157,0.078,0.617,0.432,0.571,0.2,0.556,0.333,0.394,0.737,1,0.009,1,0.31,0.409,0,0
2022-23,33,BRK,NBA,PF,27,285,0.402,18.9,0.402,0.073,0.122,0.159,0.049,0.598,0.394,0.5,0.2,0.462,0.5,0.408,0.846,1,0.012,1,0.367,0.444,0,0
2022-23,33,DAL,NBA,PF,8,70,0.424,21.8,0.333,0.03,0,0.152,0.152,0.667,0.545,1,,0.8,0.2,0.364,0.5,1,0,0,0.182,0.25,0,0
