Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,UTA,NBA,SF,73,1727,0.423,15.1,0.647,0.24,0.126,0.04,0.24,0.353,0.477,0.717,0.271,0.579,0.327,0.325,0.662,0.981,0.051,23,0.428,0.31,0,0
2013-14,27,UTA,NBA,PF,66,1674,0.439,16.6,0.555,0.194,0.122,0.061,0.179,0.445,0.503,0.725,0.406,0.344,0.383,0.359,0.605,0.988,0.029,13,0.226,0.358,4,0
2014-15,28,CHO,NBA,PF,78,2035,0.424,18,0.465,0.154,0.087,0.036,0.188,0.535,0.5,0.684,0.349,0.333,0.452,0.358,0.748,0.979,0.022,9,0.257,0.471,1,0
2015-16,29,CHO,NBA,PF,81,2338,0.452,16,0.494,0.214,0.124,0.048,0.106,0.506,0.504,0.538,0.527,0.556,0.392,0.402,0.591,0.993,0.02,12,0.27,0.461,1,0
2016-17,30,CHO,NBA,PF,76,2295,0.422,15.7,0.497,0.23,0.143,0.07,0.055,0.503,0.494,0.611,0.416,0.367,0.359,0.35,0.717,0.976,0.02,14,0.246,0.368,1,1
2017-18,31,CHO,NBA,PF,78,2006,0.458,15.9,0.458,0.231,0.135,0.055,0.036,0.542,0.512,0.585,0.474,0.419,0.35,0.413,0.652,0.992,0.014,7,0.259,0.405,0,0
2018-19,32,CHO,NBA,PF,75,2133,0.422,17.2,0.414,0.158,0.186,0.041,0.029,0.586,0.5,0.641,0.421,0.37,0.421,0.366,0.763,0.993,0.015,8,0.309,0.432,1,0
2019-20,33,TOT,NBA,PF,58,1129,0.446,17.4,0.416,0.139,0.195,0.06,0.022,0.584,0.568,0.838,0.481,0.375,0.167,0.359,0.667,0.982,0.011,2,0.365,0.474,1,0
2019-20,33,CHO,NBA,PF,41,808,0.448,17.1,0.443,0.129,0.224,0.062,0.029,0.557,0.538,0.852,0.489,0.231,0.167,0.376,0.64,0.977,0.014,2,0.316,0.514,1,0
2019-20,33,MIL,NBA,PF,17,321,0.439,18.6,0.316,0.175,0.088,0.053,0,0.684,0.722,0.8,0.4,1,,0.308,0.769,1,0,0,0.513,0.4,0,0
