Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,23,CLE,NBA,SG,72,1271,0.412,17.8,0.476,0.091,0.176,0.105,0.108,0.524,0.461,0.667,0.404,0.355,0.469,0.368,0.477,0.93,0,0,0.31,0.458,2,0
2014-15,24,CLE,NBA,SG,67,1380,0.362,17.6,0.456,0.059,0.202,0.121,0.075,0.544,0.307,0.389,0.242,0.351,0.348,0.407,0.326,0.897,0,0,0.323,0.315,0,0
2015-16,25,CLE,NBA,PG,76,1867,0.405,15.9,0.532,0.092,0.241,0.135,0.065,0.468,0.401,0.489,0.398,0.304,0.485,0.41,0.321,0.806,0,0,0.172,0.488,0,0
2016-17,26,MIL,NBA,PG,76,1986,0.39,15.1,0.597,0.15,0.266,0.101,0.077,0.403,0.404,0.4,0.43,0.389,0.366,0.367,0.31,0.861,0,0,0.144,0.355,0,0
2017-18,27,MIL,NBA,PG,38,712,0.362,17.4,0.487,0.079,0.217,0.105,0.086,0.513,0.351,0.583,0.242,0.438,0.308,0.372,0.269,0.897,0,0,0.141,0.455,0,0
2018-19,28,TOT,NBA,PG,48,812,0.405,18.1,0.463,0.124,0.211,0.091,0.037,0.537,0.482,0.567,0.471,0.409,0.444,0.338,0.278,0.773,0,0,0.054,0.143,4,0
2018-19,28,MIL,NBA,PG,12,97,0.316,18.9,0.421,0.105,0.158,0.053,0.105,0.579,0.25,0,0.333,1,0,0.364,0,1,0,0,0.091,0,0,0
2018-19,28,CLE,NBA,PG,36,715,0.413,18,0.466,0.126,0.215,0.094,0.031,0.534,0.5,0.607,0.479,0.381,0.571,0.336,0.288,0.75,0,0,0.05,0.167,4,0
2019-20,29,CLE,NBA,PG,57,821,0.354,16.6,0.48,0.137,0.229,0.103,0.011,0.52,0.488,0.542,0.4,0.611,0.5,0.231,0.317,0.905,0,0,0.165,0.333,0,0
2020-21,30,CLE,NBA,PG,13,224,0.25,14.3,0.554,0.161,0.321,0.071,0,0.446,0.323,0.222,0.389,0.25,,0.16,0.4,0.75,0,0,0.16,0,0,0
2022-23,32,SAC,NBA,PG,32,213,0.34,15.9,0.46,0.08,0.2,0.12,0.04,0.54,0.348,0.75,0.3,0.167,0.5,0.333,0.25,0.778,0,0,0.148,0.5,0,0
