Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,19,ORL,NBA,SF,76,1974,0.461,8.5,0.793,0.551,0.131,0.05,0.06,0.207,0.51,0.63,0.284,0.25,0.118,0.274,0.623,0.969,0.137,68,0.675,0.291,2,0
2013-14,20,ORL,NBA,SF,80,1950,0.464,11,0.681,0.474,0.112,0.017,0.079,0.319,0.502,0.576,0.296,0.375,0.368,0.383,0.564,0.898,0.128,60,0.526,0.383,3,0
2014-15,21,ORL,NBA,SF,45,674,0.399,10.5,0.646,0.506,0.108,0.013,0.019,0.354,0.52,0.588,0.353,0,0,0.179,0.623,1,0.196,29,0.536,0.2,2,0
2015-16,22,POR,NBA,SF,78,1457,0.474,9.7,0.659,0.501,0.117,0.012,0.029,0.341,0.576,0.66,0.292,0.4,0.333,0.279,0.558,0.949,0.17,61,0.486,0.265,1,0
2016-17,23,POR,NBA,SF,77,2223,0.503,9.9,0.689,0.522,0.112,0.014,0.042,0.311,0.572,0.613,0.457,0.444,0.385,0.351,0.626,1,0.119,69,0.459,0.303,1,0
2017-18,24,POR,NBA,SF,59,1264,0.495,11.2,0.603,0.458,0.098,0.007,0.04,0.397,0.547,0.618,0.31,0.5,0.333,0.415,0.602,0.98,0.135,30,0.441,0.404,0,0
2018-19,25,POR,NBA,SF,60,1415,0.487,9.7,0.691,0.526,0.129,0.013,0.023,0.309,0.582,0.667,0.34,0.4,0.111,0.275,0.673,0.939,0.186,66,0.317,0.289,2,0
2019-20,26,TOT,NBA,"PF,SF",62,1427,0.502,10.4,0.654,0.519,0.095,0.014,0.025,0.346,0.584,0.667,0.222,0.5,0.286,0.347,0.639,0.912,0.205,49,0.551,0.37,0,0
2019-20,26,LAC,NBA,PF,50,1141,0.516,10,0.664,0.535,0.097,0.009,0.023,0.336,0.59,0.664,0.286,0.5,0.2,0.37,0.647,0.963,0.226,40,0.603,0.432,0,0
2019-20,26,NYK,NBA,SF,12,286,0.455,11.7,0.621,0.47,0.091,0.03,0.03,0.379,0.561,0.677,0,0.5,0.5,0.28,0.609,0.714,0.136,9,0.4,0.1,0,0
2020-21,27,TOT,NBA,"PF,SF",37,772,0.418,14.8,0.491,0.321,0.109,0.012,0.048,0.509,0.568,0.66,0.333,0.5,0.5,0.274,0.717,0.913,0.139,18,0.429,0.333,0,0
2020-21,27,MIA,NBA,SF,11,124,0.385,21,0.154,0.154,0,0,0,0.846,0,0,,,,0.455,,1,0.077,0,0.545,0.5,0,0
2020-21,27,SAC,NBA,PF,26,648,0.421,14.3,0.52,0.336,0.118,0.013,0.053,0.48,0.582,0.686,0.333,0.5,0.5,0.247,0.717,0.889,0.145,18,0.411,0.3,0,0
2021-22,28,SAC,NBA,SF,47,863,0.459,15,0.442,0.265,0.155,0.006,0.017,0.558,0.65,0.688,0.643,0,0.333,0.307,0.788,1,0.116,17,0.604,0.361,0,0
