Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,20,POR,NBA,C,69,1206,0.545,8.2,0.975,0.487,0.162,0.083,0.242,0.025,0.548,0.696,0.422,0.391,0.388,0.429,0.872,1,0.209,53,0.143,1,1,0
2013-14,21,POR,NBA,C,40,355,0.451,10.9,0.934,0.286,0.253,0.088,0.308,0.066,0.482,0.615,0.522,0.375,0.357,0,0.902,,0.165,13,0.5,0,1,0
2014-15,22,POR,NBA,C,55,847,0.51,15.3,0.543,0.212,0.147,0.082,0.102,0.457,0.586,0.731,0.528,0.45,0.48,0.42,0.795,0.936,0.102,22,0.232,0.577,1,0
2015-16,23,POR,NBA,PF,61,1333,0.448,18,0.476,0.103,0.097,0.124,0.149,0.524,0.527,0.533,0.548,0.5,0.523,0.377,0.752,1,0.025,9,0.127,0.345,2,0
2016-17,24,POR,NBA,PF,74,1222,0.386,18.9,0.437,0.09,0.103,0.085,0.159,0.563,0.436,0.706,0.385,0.313,0.383,0.347,0.764,0.986,0.04,12,0.117,0.48,1,0
2017-18,25,POR,NBA,C,33,254,0.59,13.4,0.667,0.244,0.128,0.154,0.141,0.333,0.673,0.789,0.6,0.667,0.545,0.423,0.771,1,0.103,8,0.154,0.5,0,0
2018-19,26,POR,NBA,C,61,878,0.545,14.5,0.541,0.331,0.095,0.079,0.037,0.459,0.626,0.775,0.348,0.526,0.222,0.45,0.817,0.94,0.227,48,0.126,0.5,1,0
2019-20,27,MIA,NBA,C,51,1034,0.509,16.3,0.453,0.235,0.141,0.06,0.017,0.547,0.623,0.818,0.515,0.143,0.5,0.414,0.833,0.943,0.158,29,0.148,0.368,0,0
2020-21,28,MIA,NBA,C,3,29,0.429,27.3,0,0,0,0,0,1,,,,,,0.429,,1,0,0,0,,0,0
2022-23,30,MIL,NBA,C,9,114,0.483,17.7,0.379,0.276,0.069,0,0.034,0.621,0.636,0.625,1,,0,0.389,0.857,1,0.103,2,0.167,0,0,0
