Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,22,PHI,NBA,PG,70,2414,0.405,10.6,0.803,0.34,0.248,0.083,0.132,0.197,0.44,0.553,0.345,0.364,0.374,0.264,0.255,0.655,0.029,29,0.087,0.389,1,0
2014-15,23,TOT,NBA,PG,66,2149,0.396,10.1,0.834,0.333,0.229,0.096,0.176,0.166,0.428,0.588,0.338,0.42,0.247,0.235,0.204,0.917,0.032,27,0.124,0.211,2,0
2014-15,23,PHI,NBA,PG,41,1391,0.38,11,0.795,0.311,0.223,0.079,0.183,0.205,0.412,0.626,0.294,0.313,0.232,0.256,0.21,0.906,0.025,15,0.088,0.182,1,0
2014-15,23,MIL,NBA,PG,25,758,0.429,8.4,0.909,0.377,0.24,0.13,0.162,0.091,0.457,0.526,0.419,0.55,0.28,0.143,0.195,1,0.045,12,0.286,0.25,1,0
2015-16,24,MIL,NBA,PG,54,1649,0.452,8.6,0.901,0.351,0.27,0.135,0.144,0.099,0.472,0.569,0.46,0.347,0.375,0.273,0.36,0.733,0.05,24,0.255,0.357,1,0
2016-17,25,CHI,NBA,PG,45,846,0.366,11.1,0.791,0.265,0.294,0.144,0.088,0.209,0.401,0.519,0.378,0.295,0.296,0.234,0.423,0.933,0.02,6,0.406,0.308,0,0
2017-18,26,CHO,NBA,PG,52,835,0.332,11.3,0.742,0.314,0.214,0.1,0.114,0.258,0.365,0.556,0.224,0.217,0.231,0.237,0.339,0.857,0.035,8,0.373,0.227,0,0
2018-19,27,TOT,NBA,PG,28,372,0.374,11.1,0.691,0.301,0.325,0.057,0.008,0.309,0.424,0.541,0.35,0.286,0,0.263,0.25,0.8,0.024,3,0.342,0.385,0,0
2018-19,27,HOU,NBA,PG,16,145,0.41,11,0.689,0.311,0.311,0.066,0,0.311,0.429,0.526,0.421,0,,0.368,0.333,0.714,0.033,2,0.421,0.25,0,0
2018-19,27,ORL,NBA,PG,12,227,0.339,11.1,0.694,0.29,0.339,0.048,0.016,0.306,0.419,0.556,0.286,0.667,0,0.158,0.167,1,0.016,1,0.263,0.6,0,0
2019-20,28,ORL,NBA,SG,45,833,0.427,10.7,0.712,0.335,0.277,0.077,0.023,0.288,0.481,0.586,0.431,0.35,0,0.293,0.483,0.955,0.05,11,0.307,0.261,0,0
2020-21,29,ORL,NBA,SG,31,800,0.389,10.3,0.774,0.304,0.307,0.104,0.059,0.226,0.431,0.622,0.337,0.25,0.25,0.246,0.344,0.867,0.03,7,0.197,0.417,0,0
2022-23,31,ORL,NBA,PG,4,44,0.429,10.4,0.786,0.143,0.5,0.143,0,0.214,0.455,1,0.429,0,,0.333,0,1,0,0,0.333,0,0,0
