Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,19,CHA,NBA,SF,78,2025,0.458,8,0.985,0.512,0.142,0.046,0.285,0.015,0.462,0.627,0.276,0.143,0.309,0.222,0.609,0.5,0.104,58,0.333,0.333,0,0
2013-14,20,CHA,NBA,SF,62,1502,0.473,7,0.975,0.581,0.136,0.037,0.221,0.025,0.483,0.61,0.313,0.154,0.308,0.111,0.687,1,0.085,30,0.667,0,0,0
2014-15,21,CHO,NBA,SF,55,1587,0.465,7.6,1,0.477,0.156,0.071,0.297,0,0.465,0.578,0.28,0.5,0.371,,0.714,,0.056,26,,,0,0
2015-16,22,CHO,NBA,SF,7,205,0.541,6.8,0.885,0.574,0.131,0.082,0.098,0.115,0.556,0.657,0.25,0.4,0.5,0.429,0.533,1,0.082,5,0.429,0.333,0,0
2016-17,23,CHO,NBA,SF,81,2349,0.477,8.2,0.985,0.474,0.129,0.121,0.259,0.015,0.483,0.621,0.263,0.467,0.35,0.111,0.707,1,0.065,39,0.444,0,2,0
2017-18,24,CHO,NBA,SF,74,1850,0.504,8.3,0.996,0.404,0.188,0.146,0.259,0.004,0.505,0.69,0.343,0.463,0.359,0,0.674,,0.052,25,0.5,0,1,0
2018-19,25,CHO,NBA,PF,64,1179,0.476,9,0.858,0.431,0.238,0.087,0.102,0.142,0.498,0.601,0.405,0.345,0.412,0.34,0.669,1,0.039,12,0.596,0.429,3,0
2019-20,26,TOT,NBA,PF,25,281,0.333,12.7,0.697,0.212,0.333,0.045,0.106,0.303,0.37,0.5,0.364,0.333,0.143,0.25,0.706,1,0,0,0.3,0.333,0,0
2019-20,26,CHO,NBA,PF,12,160,0.34,13.1,0.679,0.226,0.302,0.057,0.094,0.321,0.361,0.5,0.375,0.333,0,0.294,0.615,1,0,0,0.294,0.4,0,0
2019-20,26,DAL,NBA,PF,13,121,0.308,11.4,0.769,0.154,0.462,0,0.154,0.231,0.4,0.5,0.333,,0.5,0,1,,0,0,0.333,0,0,0
