Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,25,MEM,NBA,PG,80,2757,0.44,13,0.688,0.323,0.155,0.07,0.139,0.312,0.476,0.563,0.336,0.455,0.443,0.362,0.295,0.802,0.001,1,0.167,0.449,2,0
2013-14,26,MEM,NBA,PG,73,2446,0.45,13.5,0.717,0.266,0.184,0.069,0.198,0.283,0.484,0.613,0.379,0.437,0.426,0.361,0.243,0.695,0.002,2,0.168,0.306,5,0
2014-15,27,MEM,NBA,PG,70,2225,0.446,13.1,0.686,0.277,0.17,0.098,0.142,0.314,0.473,0.586,0.433,0.395,0.352,0.386,0.241,0.72,0,0,0.159,0.432,3,0
2015-16,28,MEM,NBA,PG,56,1761,0.422,13.5,0.691,0.261,0.139,0.115,0.175,0.309,0.449,0.544,0.402,0.4,0.377,0.363,0.273,0.782,0.001,1,0.177,0.421,2,0
2016-17,29,MEM,NBA,PG,69,2292,0.46,16.2,0.585,0.199,0.135,0.083,0.167,0.415,0.497,0.607,0.471,0.405,0.432,0.408,0.266,0.561,0.001,1,0.115,0.438,9,0
2017-18,30,MEM,NBA,PG,12,373,0.381,14.8,0.542,0.25,0.137,0.095,0.06,0.458,0.44,0.571,0.391,0.25,0.3,0.312,0.2,0.542,0,0,0.091,0.143,0,0
2018-19,31,MEM,NBA,PG,70,2342,0.438,15.3,0.62,0.19,0.157,0.15,0.122,0.38,0.483,0.554,0.494,0.429,0.423,0.364,0.304,0.594,0,0,0.115,0.49,3,0
2019-20,32,UTA,NBA,PG,47,1363,0.409,16.3,0.549,0.134,0.203,0.138,0.074,0.451,0.437,0.566,0.391,0.359,0.476,0.375,0.257,0.625,0,0,0.199,0.451,4,1
2020-21,33,UTA,NBA,PG,51,1498,0.444,17.2,0.477,0.109,0.209,0.117,0.041,0.523,0.479,0.557,0.478,0.44,0.385,0.412,0.253,0.594,0,0,0.179,0.433,3,0
2021-22,34,UTA,NBA,PG,72,2058,0.435,17.1,0.477,0.075,0.268,0.109,0.025,0.523,0.464,0.559,0.453,0.442,0.4,0.408,0.257,0.521,0.001,0,0.167,0.391,1,0
2022-23,35,TOT,NBA,PG,67,2029,0.428,18.3,0.425,0.084,0.202,0.108,0.031,0.575,0.486,0.608,0.431,0.5,0.474,0.385,0.381,0.696,0,0,0.157,0.545,2,0
2022-23,35,UTA,NBA,PG,43,1276,0.408,18.3,0.432,0.085,0.213,0.099,0.035,0.568,0.469,0.531,0.475,0.459,0.308,0.362,0.368,0.636,0,0,0.136,0.586,2,0
2022-23,35,MIN,NBA,PG,24,753,0.46,18.3,0.413,0.081,0.183,0.123,0.026,0.587,0.515,0.737,0.349,0.552,0.833,0.42,0.4,0.776,0,0,0.188,0.5,0,0
