Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,22,ATL,NBA,PF,20,215,0.425,10.8,0.959,0.301,0.178,0.123,0.356,0.041,0.443,0.5,0.308,0.333,0.5,0,0.839,,0.082,4,0.333,0,0,0
2014-15,23,ATL,NBA,PF,40,502,0.55,10.1,0.854,0.364,0.139,0.126,0.225,0.146,0.574,0.673,0.429,0.632,0.471,0.409,0.73,1,0.106,13,0.409,0.444,0,0
2015-16,24,ATL,NBA,C,60,565,0.5,11.9,0.743,0.342,0.125,0.092,0.184,0.257,0.566,0.673,0.632,0.286,0.464,0.308,0.797,1,0.046,6,0.308,0.25,1,0
2016-17,25,ATL,NBA,C,70,1237,0.504,14,0.674,0.291,0.077,0.131,0.175,0.326,0.546,0.684,0.423,0.477,0.424,0.418,0.847,1,0.045,13,0.309,0.441,1,0
2017-18,26,ATL,NBA,C,53,1060,0.458,15.8,0.465,0.231,0.096,0.103,0.038,0.535,0.559,0.694,0.367,0.438,0.5,0.371,0.654,1,0.042,10,0.329,0.491,0,0
2018-19,27,TOT,NBA,PF,64,1306,0.402,20.2,0.291,0.144,0.061,0.047,0.039,0.709,0.533,0.596,0.455,0.529,0.429,0.348,0.768,1,0.017,5,0.191,0.306,1,0
2018-19,27,PHI,NBA,PF,47,1041,0.392,20.2,0.284,0.14,0.061,0.05,0.032,0.716,0.519,0.615,0.471,0.5,0.222,0.342,0.756,1,0.022,5,0.206,0.317,1,0
2018-19,27,LAL,NBA,PF,17,265,0.434,19.9,0.313,0.157,0.06,0.036,0.06,0.687,0.577,0.538,0.4,0.667,0.8,0.368,0.8,1,0,0,0.14,0.25,0,0
2019-20,28,OKC,NBA,C,47,572,0.407,20.9,0.243,0.138,0.021,0.069,0.016,0.757,0.5,0.654,0.25,0.154,1,0.378,0.783,1,0.016,3,0.168,0.375,0,0
2020-21,29,OKC,NBA,C,35,645,0.446,19.9,0.311,0.131,0.075,0.041,0.064,0.689,0.614,0.714,0.5,0.818,0.412,0.37,0.765,0.971,0.015,4,0.255,0.426,1,0
2021-22,30,OKC,NBA,C,43,592,0.456,19.6,0.343,0.129,0.097,0.089,0.028,0.657,0.506,0.688,0.458,0.318,0.429,0.429,0.814,1,0.036,9,0.178,0.345,0,0
2022-23,31,TOT,NBA,C,63,945,0.449,20.2,0.291,0.092,0.072,0.082,0.041,0.709,0.588,0.63,0.667,0.5,0.5,0.391,0.86,0.975,0.021,5,0.232,0.417,0,0
2022-23,31,OKC,NBA,C,43,622,0.438,20.7,0.3,0.103,0.049,0.094,0.054,0.7,0.541,0.667,0.4,0.526,0.455,0.394,0.879,0.982,0.02,3,0.183,0.385,0,0
2022-23,31,BOS,NBA,C,20,323,0.472,18.9,0.27,0.067,0.124,0.056,0.011,0.73,0.708,0.5,0.909,0.4,1,0.385,0.824,0.96,0.022,2,0.338,0.455,0,0
