Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,ATL,NBA,PF,40,376,0.476,7.1,0.993,0.524,0.177,0.102,0.19,0.007,0.479,0.61,0.308,0.2,0.429,0,0.757,,0.088,7,0,,0,0
2013-14,25,ATL,NBA,PF,80,1482,0.479,12.8,0.682,0.293,0.196,0.091,0.102,0.318,0.558,0.712,0.455,0.368,0.484,0.31,0.858,1,0.041,22,0.24,0.292,2,0
2014-15,26,ATL,NBA,PF,68,1123,0.444,15.2,0.576,0.183,0.166,0.117,0.11,0.424,0.517,0.699,0.427,0.415,0.46,0.344,0.881,1,0.038,15,0.198,0.421,2,0
2015-16,27,ATL,NBA,PF,75,1146,0.468,13.7,0.58,0.263,0.157,0.093,0.066,0.42,0.523,0.636,0.458,0.571,0.16,0.392,0.851,0.968,0.064,16,0.222,0.286,0,0
2016-17,28,ATL,NBA,PF,18,195,0.288,16.1,0.542,0.119,0.169,0.169,0.068,0.458,0.406,0.571,0.4,0.3,0.5,0.148,0.769,0.75,0,0,0.222,0,0,0
2017-18,29,WAS,NBA,PF,76,1406,0.527,14,0.689,0.168,0.193,0.176,0.153,0.311,0.582,0.693,0.495,0.587,0.563,0.405,0.743,1,0.015,7,0.258,0.452,1,0
2018-19,30,TOT,NBA,PF,79,1395,0.4,18.5,0.4,0.126,0.138,0.067,0.069,0.6,0.399,0.547,0.241,0.464,0.379,0.401,0.627,0.98,0.012,5,0.262,0.424,3,0
2018-19,30,LAC,NBA,PF,52,748,0.4,18.2,0.422,0.13,0.139,0.074,0.078,0.578,0.412,0.567,0.25,0.412,0.444,0.391,0.675,0.962,0.013,3,0.293,0.462,2,0
2018-19,30,PHI,NBA,PF,27,647,0.4,18.9,0.374,0.121,0.137,0.058,0.058,0.626,0.38,0.522,0.231,0.545,0.273,0.412,0.556,1,0.011,2,0.227,0.37,1,0
2019-20,31,PHI,NBA,PF,68,1207,0.426,18.2,0.38,0.194,0.086,0.06,0.04,0.62,0.519,0.603,0.5,0.381,0.357,0.369,0.696,1,0.017,4,0.217,0.255,2,0
2020-21,32,PHI,NBA,PF,51,852,0.36,21,0.265,0.085,0.076,0.052,0.052,0.735,0.411,0.5,0.5,0.273,0.273,0.342,0.739,1,0.009,1,0.277,0.465,0,0
