Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,IND,NBA,C,14,55,0.238,7.4,1,0.333,0.429,0.19,0.048,0,0.238,0.429,0.222,0,0,,0.4,,0.143,2,,,0,0
2013-14,25,PHO,NBA,C,80,1964,0.517,4.5,1,0.515,0.376,0.081,0.027,0,0.517,0.691,0.341,0.311,0.267,,0.591,,0.221,103,,,0,0
2014-15,26,TOT,NBA,C,73,1194,0.535,3.2,1,0.61,0.291,0.087,0.012,0,0.535,0.639,0.365,0.364,0.667,,0.654,,0.193,43,,,0,0
2014-15,26,PHO,NBA,C,54,1005,0.549,3.4,1,0.6,0.297,0.087,0.015,0,0.549,0.65,0.379,0.412,0.667,,0.607,,0.185,33,,,0,0
2014-15,26,MIL,NBA,C,19,189,0.492,2.6,1,0.644,0.271,0.085,0,0,0.492,0.605,0.313,0.2,,,0.828,,0.22,10,,,0,0
2015-16,27,MIL,NBA,C,61,870,0.601,2.6,1,0.687,0.258,0.043,0.013,0,0.601,0.638,0.55,0.5,0,,0.75,,0.305,64,,,0,0
2016-17,28,TOT,NBA,C,45,484,0.478,3.1,1,0.598,0.348,0.054,0,0,0.478,0.564,0.375,0.2,,,0.864,,0.261,19,,,0,0
2016-17,28,MIL,NBA,C,32,310,0.441,3.3,1,0.574,0.368,0.059,0,0,0.441,0.538,0.32,0.25,,,0.9,,0.25,13,,,0,0
2016-17,28,CHO,NBA,C,13,174,0.583,2.5,1,0.667,0.292,0.042,0,0,0.583,0.625,0.571,0,,,0.786,,0.292,6,,,0,0
2017-18,29,ATL,NBA,C,55,918,0.583,3,1,0.65,0.267,0.061,0.022,0,0.583,0.709,0.333,0.455,0.25,,0.781,,0.35,55,,,0,0
2018-19,30,ATL,NBA,C,18,173,0.667,3.4,1,0.708,0.188,0.083,0.021,0,0.667,0.735,0.667,0.25,0,,0.625,,0.417,14,,,0,0
