Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,22,HOU,NBA,PF,39,379,0.644,3.4,0.989,0.667,0.233,0.022,0.067,0.011,0.652,0.75,0.524,0,0.333,0,0.638,,0.311,26,0,,0,0
2016-17,23,HOU,NBA,C,58,1064,0.652,3.8,0.98,0.687,0.197,0.032,0.064,0.02,0.663,0.751,0.515,0.091,0.455,0.143,0.79,0,0.319,98,0.571,0.25,0,0
2017-18,24,LAC,NBA,C,76,1293,0.635,3.5,0.987,0.646,0.268,0.051,0.02,0.013,0.641,0.734,0.49,0.429,0.273,0.143,0.669,0,0.234,115,0,,1,0
2018-19,25,LAC,NBA,C,82,2158,0.615,3.9,0.981,0.669,0.242,0.054,0.016,0.019,0.623,0.724,0.419,0.375,0.357,0.176,0.696,1,0.252,203,0.059,0,3,0
2019-20,26,LAC,NBA,C,63,1749,0.58,4.2,0.978,0.61,0.305,0.046,0.017,0.022,0.593,0.705,0.44,0.297,0.143,0,0.618,,0.172,134,0,,6,0
2020-21,27,LAL,NBA,C,69,1580,0.622,4.7,0.983,0.577,0.259,0.114,0.033,0.017,0.632,0.75,0.506,0.435,0.25,0,0.605,,0.214,118,0.1,0,1,0
2021-22,28,TOT,NBA,C,71,1640,0.645,4.8,0.969,0.582,0.274,0.079,0.034,0.031,0.658,0.771,0.533,0.409,0.316,0.235,0.653,1,0.286,150,0.118,0.5,2,0
2021-22,28,WAS,NBA,C,46,1117,0.645,5.5,0.961,0.517,0.319,0.089,0.037,0.039,0.66,0.788,0.541,0.471,0.357,0.267,0.646,1,0.272,101,0.133,0.5,2,0
2021-22,28,CHO,NBA,C,25,524,0.645,3.3,0.988,0.727,0.174,0.058,0.029,0.012,0.653,0.744,0.5,0.2,0.2,0,0.667,,0.32,49,0,,0,0
2022-23,29,PHI,NBA,C,57,681,0.598,4,0.971,0.627,0.297,0.043,0.005,0.029,0.616,0.71,0.5,0.111,0,0,0.656,,0.263,48,0.167,0,1,0
