Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,20,PHI,NBA,C,75,2311,0.462,5.1,1,0.462,0.329,0.124,0.084,0,0.462,0.662,0.288,0.309,0.273,,0.672,,0.193,118,,,0,0
2015-16,21,PHI,NBA,C,67,1965,0.521,5.1,0.997,0.545,0.228,0.106,0.118,0.003,0.521,0.716,0.306,0.306,0.232,0.5,0.669,1,0.278,151,0,,0,0
2016-17,22,TOT,NBA,C,51,1047,0.595,4.9,0.997,0.625,0.162,0.094,0.12,0.003,0.597,0.71,0.52,0.241,0.378,0,0.745,,0.307,85,0,,0,0
2016-17,22,PHI,NBA,C,29,564,0.611,4.8,0.994,0.634,0.166,0.08,0.12,0.006,0.615,0.721,0.483,0.214,0.476,0,0.729,,0.32,52,0,,0,0
2016-17,22,DAL,NBA,C,22,483,0.575,5,1,0.612,0.157,0.112,0.119,0,0.575,0.695,0.571,0.267,0.25,,0.766,,0.291,33,,,0,0
2017-18,23,DAL,NBA,C,30,472,0.524,4.3,0.99,0.6,0.21,0.143,0.038,0.01,0.529,0.619,0.5,0.333,0,0,0.8,,0.229,19,0,,0,0
2018-19,24,OKC,NBA,C,77,1055,0.587,4.7,1,0.62,0.188,0.145,0.047,0,0.587,0.725,0.365,0.375,0.308,,0.728,,0.301,76,,,0,0
2019-20,25,OKC,NBA,C,61,1127,0.684,5.1,0.989,0.613,0.186,0.134,0.056,0.011,0.688,0.861,0.54,0.278,0.267,0.333,0.831,1,0.442,112,0.333,1,1,0
2020-21,26,NYK,NBA,C,64,1547,0.614,3.7,0.987,0.686,0.202,0.081,0.018,0.013,0.623,0.706,0.489,0.278,0.5,0,0.737,,0.39,76,0.333,0,0,0
2021-22,27,NYK,NBA,C,25,562,0.533,5.9,0.95,0.533,0.25,0.167,0,0.05,0.561,0.563,0.533,0.6,,0,0.75,,0.117,3,0.667,0,1,0
2022-23,28,TOT,NBA,C,17,195,0.361,9.8,0.944,0.25,0.25,0.306,0.139,0.056,0.353,0.444,0.222,0.364,0.4,0.5,0.833,1,0.028,0,0,,0,0
2022-23,28,DET,NBA,C,14,152,0.4,10.1,0.933,0.267,0.2,0.3,0.167,0.067,0.393,0.5,0.333,0.333,0.4,0.5,0.818,1,0.033,0,0,,0,0
2022-23,28,BRK,NBA,C,3,43,0.167,8.1,1,0.167,0.5,0.333,0,0,0.167,0,0,0.5,,,1,,0,0,,,0,0
