Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,POR,NBA,SF,73,2807,0.423,17.8,0.467,0.206,0.031,0.048,0.181,0.533,0.481,0.651,0.308,0.35,0.351,0.372,0.535,0.921,0.058,42,0.261,0.414,1,0
2013-14,25,POR,NBA,SF,82,2956,0.465,16.9,0.509,0.219,0.055,0.077,0.159,0.491,0.566,0.76,0.378,0.444,0.423,0.361,0.542,0.903,0.061,43,0.251,0.366,1,0
2014-15,26,POR,NBA,SF,71,2380,0.4,17.4,0.485,0.18,0.04,0.078,0.187,0.515,0.481,0.694,0.292,0.404,0.348,0.324,0.564,0.77,0.033,20,0.207,0.359,0,0
2015-16,27,CHO,NBA,SF,70,2448,0.426,17.2,0.543,0.151,0.055,0.12,0.215,0.457,0.492,0.697,0.396,0.438,0.404,0.348,0.429,0.784,0.025,21,0.108,0.372,1,0
2016-17,28,CHO,NBA,SG,77,2617,0.403,17.3,0.585,0.117,0.102,0.182,0.185,0.415,0.453,0.64,0.384,0.435,0.389,0.333,0.457,0.867,0.013,12,0.089,0.333,2,0
2017-18,29,CHO,NBA,SG,64,1981,0.415,17.5,0.578,0.109,0.063,0.197,0.209,0.422,0.473,0.704,0.439,0.445,0.39,0.336,0.388,0.848,0.015,10,0.109,0.267,1,0
2018-19,30,CHO,NBA,SF,75,2354,0.45,17.1,0.47,0.21,0.077,0.084,0.1,0.53,0.519,0.661,0.442,0.383,0.393,0.389,0.54,0.828,0.044,22,0.309,0.457,1,0
2019-20,31,CHO,NBA,SF,22,505,0.346,18.1,0.395,0.222,0.012,0.074,0.086,0.605,0.438,0.611,1,0.333,0,0.286,0.214,0.929,0.037,3,0.388,0.316,0,0
2020-21,32,LAC,NBA,SF,67,1835,0.464,19.1,0.34,0.177,0.024,0.053,0.085,0.66,0.579,0.699,0.6,0.455,0.4,0.404,0.778,0.991,0.046,18,0.434,0.432,0,0
2021-22,33,LAC,NBA,PF,59,1463,0.463,20.2,0.302,0.121,0.044,0.057,0.08,0.698,0.607,0.809,0.412,0.636,0.387,0.4,0.831,0.972,0.047,14,0.315,0.471,0,0
2022-23,34,LAC,NBA,PF,78,1709,0.42,21.6,0.168,0.094,0.039,0.016,0.018,0.832,0.563,0.694,0.533,0.333,0.143,0.391,0.611,0.992,0.024,8,0.391,0.435,1,0
