Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,21,SAC,NBA,SG,73,1127,0.365,17.1,0.497,0.179,0.084,0.061,0.172,0.503,0.408,0.528,0.24,0.389,0.373,0.322,0.467,0.917,0.014,4,0.255,0.289,0,0
2015-16,22,PHI,NBA,SG,73,1809,0.385,16.8,0.404,0.251,0.057,0.026,0.07,0.596,0.473,0.547,0.29,0.357,0.395,0.326,0.558,0.915,0.039,18,0.323,0.343,0,0
2016-17,23,PHI,NBA,SG,80,2188,0.396,17.2,0.434,0.241,0.062,0.057,0.073,0.566,0.433,0.536,0.205,0.472,0.261,0.368,0.487,0.818,0.027,16,0.189,0.485,1,0
2017-18,24,TOT,NBA,SG,41,523,0.39,18.9,0.351,0.182,0.065,0.019,0.084,0.649,0.37,0.536,0.1,0,0.308,0.4,0.45,0.775,0.019,3,0.13,0.538,1,0
2017-18,24,PHI,NBA,SG,6,45,0.25,11,0.75,0.5,0,0,0.25,0.25,0.333,0,,,1,0,1,,0,0,0,,0,0
2017-18,24,BRK,NBA,SG,35,478,0.393,19.1,0.34,0.173,0.067,0.02,0.08,0.66,0.373,0.577,0.1,0,0.25,0.404,0.421,0.775,0.02,3,0.131,0.538,1,0
2018-19,25,TOT,NBA,SG,68,1015,0.402,17.7,0.444,0.213,0.05,0.095,0.086,0.556,0.44,0.472,0.294,0.438,0.448,0.372,0.5,0.857,0.03,7,0.218,0.366,1,0
2018-19,25,POR,NBA,SG,44,673,0.419,17.7,0.454,0.223,0.039,0.096,0.096,0.546,0.51,0.549,0.333,0.545,0.455,0.344,0.472,0.86,0.035,5,0.176,0.318,1,0
2018-19,25,CLE,NBA,SG,24,342,0.367,17.8,0.422,0.193,0.073,0.092,0.064,0.578,0.283,0.286,0.25,0.2,0.429,0.429,0.615,0.852,0.018,2,0.302,0.421,0,0
2021-22,28,TOT,NBA,SG,8,39,0.357,20.7,0.286,0.071,0.071,0.071,0.071,0.714,0.25,0,0,1,0,0.4,1,0.75,0,0,0.5,0.6,0,0
2021-22,28,MIA,NBA,SG,2,24,0.375,17.4,0.5,0.125,0.125,0.125,0.125,0.5,0.25,0,0,1,0,0.5,1,1,0,0,0.75,0.667,0,0
2021-22,28,BOS,NBA,SG,6,15,0.333,25.2,0,0,0,0,0,1,,,,,,0.333,,0.5,0,0,0.333,0.5,0,0
