Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,ORL,NBA,C,77,2559,0.519,7.9,0.997,0.425,0.219,0.129,0.223,0.003,0.52,0.635,0.451,0.426,0.424,0,0.67,,0.082,61,0.333,0,0,0
2013-14,23,ORL,NBA,C,57,1812,0.507,8.4,1,0.395,0.231,0.112,0.261,0,0.507,0.622,0.435,0.5,0.401,,0.626,,0.043,27,,,0,0
2014-15,24,ORL,NBA,C,74,2529,0.523,8.6,0.995,0.308,0.276,0.153,0.257,0.005,0.524,0.664,0.45,0.47,0.468,0.333,0.655,1,0.053,56,0,,0,0
2015-16,25,ORL,NBA,C,65,2037,0.51,9.8,0.991,0.247,0.279,0.166,0.299,0.009,0.512,0.616,0.5,0.431,0.482,0.222,0.61,0.5,0.032,29,0,,1,0
2016-17,26,ORL,NBA,C,75,2163,0.468,11.4,0.927,0.215,0.256,0.193,0.264,0.073,0.481,0.608,0.485,0.417,0.419,0.307,0.617,1,0.017,16,0.08,0.167,0,0
2017-18,27,ORL,NBA,C,57,1683,0.475,12.7,0.757,0.213,0.223,0.154,0.168,0.243,0.527,0.743,0.481,0.349,0.475,0.314,0.672,1,0.04,29,0.01,0.5,0,0
2018-19,28,ORL,NBA,C,80,2510,0.518,10.9,0.829,0.261,0.299,0.143,0.126,0.171,0.549,0.706,0.533,0.404,0.427,0.364,0.669,1,0.042,51,0.013,0.333,1,0
2019-20,29,ORL,NBA,C,62,1998,0.477,12.5,0.72,0.235,0.27,0.131,0.084,0.28,0.531,0.675,0.487,0.43,0.425,0.339,0.719,0.99,0.03,27,0.031,0.778,0,0
2020-21,30,TOT,NBA,C,70,2348,0.477,14.5,0.685,0.143,0.251,0.166,0.125,0.315,0.513,0.683,0.484,0.466,0.437,0.4,0.616,0.994,0.018,19,0.02,0.333,0,0
2020-21,30,ORL,NBA,C,44,1500,0.48,15,0.683,0.126,0.24,0.175,0.142,0.317,0.515,0.693,0.495,0.465,0.45,0.406,0.608,1,0.015,10,0.017,0.4,0,0
2020-21,30,CHI,NBA,C,26,848,0.471,13.7,0.689,0.174,0.273,0.15,0.092,0.311,0.509,0.671,0.466,0.466,0.4,0.388,0.632,0.983,0.023,9,0.026,0.25,0,0
2021-22,31,CHI,NBA,C,73,2418,0.473,13,0.713,0.223,0.253,0.137,0.101,0.287,0.537,0.708,0.49,0.449,0.397,0.314,0.713,1,0.032,34,0.06,0.3,2,0
2022-23,32,CHI,NBA,C,82,2746,0.52,12.8,0.698,0.235,0.258,0.126,0.078,0.302,0.594,0.704,0.601,0.462,0.456,0.349,0.735,1,0.039,37,0.124,0.465,0,0
