Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,19,CHO,NBA,PF,25,259,0.395,8.1,0.829,0.447,0.25,0.066,0.066,0.171,0.397,0.471,0.316,0.4,0.2,0.385,0.36,0.8,0.039,3,0,,0,0
2015-16,20,POR,NBA,PF,78,1174,0.421,9.3,0.835,0.417,0.191,0.054,0.173,0.165,0.457,0.603,0.283,0.467,0.292,0.239,0.528,1,0.129,33,0.304,0.286,0,0
2016-17,21,POR,NBA,PF,74,1265,0.481,7.1,0.926,0.515,0.211,0.033,0.167,0.074,0.492,0.561,0.386,0.222,0.467,0.35,0.585,0.857,0.181,43,0.25,0,0,0
2017-18,22,TOT,NBA,PF,54,875,0.444,11.3,0.718,0.376,0.154,0.06,0.128,0.282,0.5,0.625,0.333,0.357,0.4,0.303,0.488,0.95,0.111,22,0.076,0.2,0,0
2017-18,22,POR,NBA,PF,33,476,0.49,8.5,0.938,0.458,0.135,0.094,0.25,0.063,0.5,0.636,0.154,0.556,0.417,0.333,0.556,0.5,0.167,14,0,,0,0
2017-18,22,CHI,NBA,PF,21,399,0.413,13.3,0.565,0.319,0.167,0.036,0.043,0.435,0.5,0.614,0.435,0,0.333,0.3,0.41,1,0.072,8,0.083,0.2,0,0
2018-19,23,NYK,NBA,PF,68,1722,0.47,11,0.689,0.373,0.255,0.023,0.039,0.311,0.531,0.598,0.473,0.3,0.412,0.336,0.354,0.978,0.111,39,0.124,0.353,0,0
2019-20,24,TOT,NBA,C,36,377,0.565,6.8,0.837,0.511,0.315,0,0.011,0.163,0.636,0.723,0.517,,0,0.2,0.551,1,0.174,14,0.2,0.333,0,0
2019-20,24,MIN,NBA,C,29,347,0.547,6.8,0.837,0.512,0.314,0,0.012,0.163,0.625,0.705,0.519,,0,0.143,0.556,1,0.174,13,0.143,0,0,0
2019-20,24,DEN,NBA,C,7,30,0.833,7.1,0.833,0.5,0.333,0,0,0.167,0.8,1,0.5,,,1,0.5,1,0.167,1,1,1,0,0
2020-21,25,BRK,NBA,C,4,11,0,18.6,0.333,0.333,0,0,0,0.667,0,0,,,,0,,,0,0,0,,0,0
2022-23,27,BOS,NBA,C,23,171,0.458,6.8,0.833,0.458,0.292,0.083,0,0.167,0.5,0.727,0.143,0.5,,0.25,0.2,1,0.208,5,0.75,0.333,0,0
