Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,22,TOR,NBA,SG,49,725,0.424,13.7,0.611,0.279,0.109,0.083,0.144,0.389,0.436,0.609,0.12,0.316,0.394,0.404,0.344,0.944,0.061,14,0.461,0.512,0,0
2016-17,23,TOR,NBA,SG,76,1368,0.449,11.8,0.658,0.411,0.128,0.03,0.091,0.342,0.514,0.606,0.354,0.2,0.413,0.324,0.263,0.946,0.067,31,0.445,0.338,0,0
2017-18,24,TOR,NBA,SG,70,1062,0.401,14.6,0.503,0.278,0.134,0.04,0.051,0.497,0.516,0.596,0.42,0.4,0.421,0.285,0.412,0.925,0.043,14,0.333,0.29,0,0
2018-19,25,TOR,NBA,SG,60,1126,0.483,13.7,0.575,0.383,0.103,0.038,0.053,0.425,0.543,0.621,0.512,0.267,0.238,0.4,0.552,0.926,0.053,20,0.312,0.472,3,0
2019-20,26,TOR,NBA,SG,52,1479,0.495,14.2,0.543,0.331,0.137,0.032,0.043,0.457,0.575,0.662,0.451,0.368,0.462,0.399,0.668,0.954,0.055,30,0.311,0.435,3,0
2020-21,27,TOT,NBA,"SF,SG",69,2205,0.477,14.3,0.547,0.275,0.181,0.053,0.038,0.453,0.532,0.647,0.416,0.367,0.486,0.411,0.547,0.836,0.044,32,0.317,0.53,2,0
2020-21,27,TOR,NBA,SG,42,1277,0.498,14.6,0.525,0.265,0.184,0.042,0.034,0.475,0.552,0.647,0.471,0.292,0.579,0.439,0.555,0.814,0.044,19,0.327,0.534,1,0
2020-21,27,POR,NBA,SF,27,928,0.443,13.7,0.582,0.29,0.176,0.071,0.045,0.418,0.502,0.647,0.323,0.44,0.375,0.361,0.534,0.887,0.043,13,0.299,0.523,1,0
2021-22,28,TOT,NBA,"SF,SG",45,1458,0.461,14.4,0.582,0.256,0.179,0.058,0.089,0.418,0.491,0.568,0.407,0.514,0.426,0.419,0.509,0.877,0.026,13,0.316,0.388,0,0
2021-22,28,POR,NBA,SF,40,1333,0.456,14.4,0.577,0.264,0.172,0.052,0.09,0.423,0.492,0.559,0.409,0.464,0.469,0.406,0.513,0.914,0.028,12,0.332,0.382,0,0
2021-22,28,LAC,NBA,SG,5,125,0.508,14.2,0.619,0.19,0.238,0.111,0.079,0.381,0.487,0.667,0.4,0.714,0,0.542,0.474,0.615,0.016,1,0.167,0.5,0,0
2022-23,29,LAC,NBA,SG,60,1567,0.479,14.1,0.596,0.241,0.207,0.087,0.061,0.404,0.534,0.684,0.456,0.419,0.372,0.397,0.527,0.877,0.025,16,0.317,0.484,1,0
