Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,CLE,NBA,SF,43,503,0.394,16.2,0.525,0.219,0.119,0.056,0.131,0.475,0.452,0.457,0.368,0.444,0.524,0.329,0.658,0.96,0.013,2,0.171,0.385,0,0
2013-14,25,HOU,NBA,PF,71,1283,0.422,14.2,0.571,0.222,0.239,0.049,0.059,0.429,0.479,0.692,0.388,0.25,0.25,0.347,0.696,0.902,0.032,12,0.222,0.359,0,0
2014-15,26,SAC,NBA,SF,67,1416,0.489,8,0.796,0.382,0.358,0.035,0.021,0.204,0.512,0.724,0.34,0.133,0.222,0.402,0.667,0.914,0.063,25,0.149,0.385,0,0
2015-16,27,SAC,NBA,PF,69,1880,0.481,13,0.559,0.28,0.256,0.023,0.003,0.441,0.537,0.661,0.44,0.214,0,0.409,0.663,0.857,0.05,29,0.168,0.435,1,0
2016-17,28,TOT,NBA,PF,36,643,0.47,9.1,0.738,0.433,0.287,0.018,0.006,0.262,0.512,0.62,0.383,0,0,0.349,0.726,1,0.043,6,0.209,0.333,0,0
2016-17,28,SAC,NBA,PF,22,397,0.453,8.8,0.752,0.453,0.274,0.017,0.009,0.248,0.477,0.604,0.313,0,0,0.379,0.69,1,0.034,3,0.172,0.4,0,0
2016-17,28,NOP,NBA,PF,1,24,0.556,12.3,0.556,0.444,0.111,0,0,0.444,0.6,0.5,1,,,0.5,0.667,1,0.111,1,0.25,0,0,0
2016-17,28,MIN,NBA,PF,13,222,0.5,9.2,0.737,0.368,0.368,0.026,0,0.263,0.607,0.714,0.5,0,,0.2,0.824,1,0.053,2,0.3,0.333,0,0
2017-18,29,GSW,NBA,SF,53,740,0.58,6.1,0.894,0.507,0.3,0.082,0.005,0.106,0.595,0.705,0.452,0.471,0,0.455,0.791,1,0.053,10,0.227,0.8,1,0
2018-19,30,MEM,NBA,SF,36,520,0.534,9.1,0.733,0.46,0.255,0.019,0,0.267,0.602,0.784,0.317,0,,0.349,0.761,1,0.099,16,0.14,0.333,0,0
