Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,20,WAS,NBA,SF,37,319,0.363,14.7,0.769,0.198,0.121,0.121,0.33,0.231,0.414,0.611,0.364,0.273,0.367,0.19,0.655,0.75,0.011,1,0.476,0.1,0,0
2014-15,21,WAS,NBA,SF,74,1432,0.45,14,0.734,0.225,0.133,0.084,0.292,0.266,0.491,0.75,0.327,0.455,0.377,0.337,0.759,0.943,0.056,22,0.433,0.356,1,0
2015-16,22,WAS,NBA,SF,75,2276,0.473,15.2,0.628,0.244,0.077,0.084,0.225,0.372,0.536,0.674,0.364,0.45,0.472,0.367,0.68,0.969,0.028,18,0.36,0.385,2,0
2016-17,23,WAS,NBA,SF,80,2605,0.516,16.3,0.575,0.197,0.1,0.09,0.189,0.425,0.576,0.709,0.513,0.5,0.507,0.434,0.665,0.966,0.027,21,0.402,0.423,1,0
2017-18,24,WAS,NBA,SF,77,2432,0.503,15.4,0.646,0.177,0.124,0.145,0.2,0.354,0.537,0.707,0.445,0.422,0.525,0.441,0.632,0.913,0.021,19,0.182,0.456,1,0
2018-19,25,TOT,NBA,SF,56,1683,0.465,16.7,0.602,0.152,0.109,0.149,0.191,0.398,0.504,0.663,0.571,0.458,0.374,0.406,0.605,0.875,0.009,6,0.27,0.42,0,0
2018-19,25,WAS,NBA,SF,41,1191,0.457,16.3,0.602,0.172,0.106,0.152,0.172,0.398,0.515,0.684,0.596,0.448,0.355,0.369,0.642,0.923,0.009,4,0.313,0.4,0,0
2018-19,25,CHI,NBA,SF,15,492,0.483,17.5,0.602,0.109,0.114,0.144,0.234,0.398,0.479,0.591,0.522,0.483,0.404,0.488,0.517,0.795,0.01,2,0.175,0.5,0,0
2019-20,26,CHI,NBA,SF,14,331,0.443,16.2,0.557,0.164,0.193,0.086,0.114,0.443,0.487,0.391,0.704,0.333,0.375,0.387,0.342,0.917,0.007,1,0.226,0.429,1,0
2020-21,27,TOT,NBA,"PF,SF",28,606,0.432,16.9,0.542,0.137,0.154,0.11,0.141,0.458,0.48,0.774,0.314,0.48,0.375,0.375,0.61,0.974,0.004,1,0.288,0.467,1,0
2020-21,27,CHI,NBA,SF,25,540,0.441,17.1,0.53,0.129,0.153,0.109,0.139,0.47,0.477,0.769,0.323,0.5,0.357,0.4,0.588,1,0.005,1,0.316,0.467,1,0
2020-21,27,ORL,NBA,PF,3,66,0.36,15.8,0.64,0.2,0.16,0.12,0.16,0.36,0.5,0.8,0.25,0.333,0.5,0.111,0.75,0,0,0,0,,0,0
2021-22,28,GSW,NBA,PF,63,1396,0.464,16.7,0.481,0.161,0.163,0.087,0.07,0.519,0.565,0.746,0.515,0.444,0.414,0.37,0.735,0.95,0.029,11,0.241,0.327,0,0
2022-23,29,TOR,NBA,SF,8,146,0.5,18.8,0.433,0.133,0.1,0.033,0.167,0.567,0.692,1,1,0,0.4,0.353,0.556,1,0,0,0.235,0.25,0,0
