Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,27,PHO,NBA,SG,79,1910,0.473,9.3,0.842,0.466,0.162,0.054,0.16,0.158,0.503,0.623,0.347,0.417,0.338,0.314,0.59,0.955,0.034,14,0.686,0.313,1,0
2013-14,28,PHO,NBA,SF,81,2490,0.431,11.5,0.689,0.353,0.185,0.057,0.094,0.311,0.45,0.535,0.377,0.371,0.328,0.387,0.492,0.959,0.02,9,0.869,0.41,1,0
2014-15,29,PHO,NBA,SF,78,2383,0.438,13.9,0.577,0.267,0.141,0.049,0.121,0.423,0.506,0.679,0.345,0.276,0.403,0.345,0.397,0.874,0.015,9,0.611,0.357,0,0
2015-16,30,PHO,NBA,SF,82,2540,0.411,11.4,0.646,0.368,0.172,0.029,0.077,0.354,0.455,0.533,0.35,0.412,0.333,0.33,0.357,0.971,0.012,6,0.699,0.34,1,0
2016-17,31,TOT,NBA,SF,81,2236,0.413,13.3,0.593,0.299,0.16,0.071,0.062,0.407,0.451,0.507,0.377,0.412,0.433,0.357,0.457,0.986,0.015,7,0.77,0.391,1,0
2016-17,31,PHO,NBA,SF,57,1627,0.415,12.8,0.616,0.319,0.155,0.079,0.059,0.384,0.463,0.522,0.364,0.464,0.429,0.338,0.436,0.978,0.02,7,0.787,0.364,1,0
2016-17,31,TOR,NBA,SF,24,609,0.406,14.7,0.531,0.242,0.172,0.047,0.07,0.469,0.412,0.452,0.409,0.167,0.444,0.4,0.536,1,0,0,0.733,0.455,0,0
2017-18,32,HOU,NBA,PF,82,2281,0.39,18.4,0.297,0.15,0.077,0.011,0.059,0.703,0.435,0.561,0.324,0.2,0.308,0.371,0.579,0.983,0.005,2,0.655,0.399,0,0
2018-19,33,HOU,NBA,PF,82,2802,0.396,18.9,0.26,0.141,0.096,0.015,0.008,0.74,0.449,0.527,0.34,0.5,0.25,0.377,0.705,1,0.006,3,0.703,0.393,1,0
2019-20,34,HOU,NBA,PF,72,2467,0.415,18.4,0.298,0.148,0.089,0.035,0.026,0.702,0.551,0.619,0.474,0.467,0.545,0.358,0.729,0.991,0,0,0.766,0.384,0,0
2020-21,35,TOT,NBA,PF,52,1356,0.373,17.2,0.328,0.186,0.096,0.034,0.011,0.672,0.448,0.515,0.412,0.167,0.5,0.336,0.808,1,0,0,0.849,0.347,0,0
2020-21,35,HOU,NBA,PF,32,959,0.366,16.9,0.344,0.198,0.099,0.031,0.015,0.656,0.467,0.5,0.462,0.25,0.5,0.314,0.81,1,0,0,0.826,0.338,0,0
2020-21,35,MIL,NBA,PF,20,397,0.391,18.1,0.283,0.152,0.087,0.043,0,0.717,0.385,0.571,0.25,0,,0.394,0.8,1,0,0,0.909,0.367,0,0
2021-22,36,MIA,NBA,PF,71,1981,0.484,13.8,0.549,0.199,0.255,0.079,0.016,0.451,0.54,0.6,0.532,0.471,0.286,0.415,0.819,0.988,0.007,3,0.886,0.415,0,0
2022-23,37,PHI,NBA,PF,75,1920,0.427,16.5,0.378,0.173,0.151,0.036,0.018,0.622,0.482,0.487,0.441,0.5,0.75,0.393,0.732,0.982,0,0,0.914,0.398,0,0
