Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,HOU,NBA,PG,41,713,0.418,16.3,0.492,0.159,0.206,0.063,0.063,0.508,0.462,0.667,0.462,0.167,0.25,0.375,0.233,0.944,0.021,3,0.302,0.414,1,0
2013-14,25,HOU,NBA,PG,56,1751,0.414,15.9,0.47,0.198,0.181,0.037,0.054,0.53,0.473,0.568,0.46,0.333,0.269,0.361,0.206,0.957,0.002,1,0.455,0.345,0,0
2014-15,26,HOU,NBA,PG,56,1727,0.383,16.6,0.393,0.179,0.145,0.038,0.032,0.607,0.426,0.505,0.39,0.35,0.235,0.356,0.27,0.939,0.002,0,0.399,0.38,0,0
2015-16,27,HOU,NBA,PG,71,2041,0.434,15.3,0.478,0.197,0.175,0.059,0.047,0.522,0.472,0.581,0.365,0.457,0.429,0.4,0.351,0.839,0.003,2,0.416,0.403,0,0
2016-17,28,HOU,NBA,SG,67,2058,0.42,15.9,0.47,0.21,0.173,0.055,0.033,0.53,0.463,0.544,0.436,0.367,0.222,0.382,0.297,0.836,0.004,1,0.323,0.387,1,0
2017-18,29,LAC,NBA,SG,11,334,0.403,15.3,0.496,0.227,0.151,0.067,0.05,0.504,0.407,0.593,0.333,0.25,0,0.4,0.25,0.792,0,0,0.183,0.273,0,0
2018-19,30,LAC,NBA,PG,78,2137,0.407,16.9,0.409,0.187,0.182,0.029,0.01,0.591,0.421,0.494,0.379,0.286,0.2,0.397,0.354,0.875,0.004,0,0.195,0.455,0,0
2019-20,31,LAC,NBA,PG,51,1342,0.431,17.2,0.396,0.194,0.147,0.041,0.015,0.604,0.496,0.591,0.46,0.286,0.2,0.388,0.299,0.95,0.006,1,0.311,0.422,0,0
2020-21,32,LAC,NBA,PG,37,832,0.423,18.2,0.359,0.173,0.132,0.032,0.023,0.641,0.468,0.5,0.483,0.286,0.4,0.397,0.378,0.929,0,0,0.291,0.463,0,0
2021-22,33,MIN,NBA,PG,58,1476,0.406,16.6,0.445,0.17,0.206,0.05,0.018,0.555,0.485,0.568,0.433,0.545,0.125,0.343,0.255,0.783,0,0,0.227,0.473,1,0
2022-23,34,TOT,NBA,"PG,SG",67,1816,0.4,18.7,0.336,0.122,0.181,0.022,0.011,0.664,0.529,0.636,0.446,0.5,0.75,0.335,0.359,0.875,0.003,1,0.335,0.35,2,0
2022-23,34,LAL,NBA,SG,45,1211,0.402,18.6,0.344,0.104,0.199,0.029,0.012,0.656,0.506,0.64,0.438,0.429,0.667,0.348,0.357,0.855,0.004,1,0.323,0.412,0,0
2022-23,34,CHI,NBA,PG,22,605,0.395,18.9,0.319,0.16,0.143,0.008,0.008,0.681,0.579,0.632,0.471,1,1,0.309,0.364,0.92,0,0,0.358,0.241,2,0
