Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,TOT,NBA,PF,71,1775,0.512,12.8,0.788,0.212,0.205,0.143,0.228,0.212,0.546,0.742,0.461,0.472,0.486,0.386,0.739,1,0.074,43,0.765,0.426,0,0
2012-13,23,HOU,NBA,PF,47,1219,0.519,12.5,0.789,0.235,0.193,0.145,0.215,0.211,0.56,0.757,0.466,0.485,0.48,0.365,0.751,1,0.081,35,0.781,0.427,0,0
2012-13,23,SAC,NBA,PF,24,556,0.494,13.7,0.786,0.149,0.238,0.137,0.262,0.214,0.508,0.68,0.45,0.435,0.5,0.444,0.701,1,0.054,8,0.722,0.423,0,0
2013-14,24,TOT,NBA,PF,65,1533,0.46,14.4,0.691,0.194,0.168,0.147,0.182,0.309,0.503,0.632,0.5,0.458,0.404,0.364,0.729,0.982,0.043,19,0.397,0.383,0,0
2013-14,24,SAC,NBA,PF,17,415,0.41,13.9,0.68,0.189,0.213,0.131,0.148,0.32,0.494,0.652,0.577,0.375,0.278,0.231,0.756,1,0.025,2,0.308,0.167,0,0
2013-14,24,TOR,NBA,PF,48,1118,0.477,14.6,0.695,0.196,0.153,0.153,0.193,0.305,0.506,0.625,0.464,0.482,0.437,0.411,0.721,0.978,0.049,17,0.429,0.438,0,0
2014-15,25,TOR,NBA,PF,81,2156,0.449,16.4,0.471,0.159,0.144,0.095,0.073,0.529,0.536,0.553,0.597,0.529,0.385,0.371,0.533,1,0.017,7,0.353,0.41,1,0
2015-16,26,TOR,NBA,PF,79,2020,0.414,17.2,0.406,0.124,0.152,0.087,0.043,0.594,0.49,0.525,0.56,0.349,0.429,0.362,0.5,0.991,0.037,16,0.386,0.372,0,0
2016-17,27,TOR,NBA,PF,65,1599,0.401,18.6,0.341,0.128,0.112,0.07,0.031,0.659,0.458,0.551,0.419,0.444,0.25,0.372,0.517,0.979,0.023,7,0.383,0.412,1,1
2017-18,28,OKC,NBA,PF,82,1270,0.398,17.5,0.357,0.128,0.135,0.06,0.03,0.643,0.421,0.588,0.361,0.25,0.375,0.386,0.6,1,0,0,0.433,0.392,0,0
2018-19,29,OKC,NBA,PF,63,861,0.374,17.9,0.374,0.16,0.1,0.091,0.023,0.626,0.439,0.571,0.273,0.4,0.4,0.336,0.722,1,0.027,6,0.314,0.302,0,0
2019-20,30,LAC,NBA,PF,59,776,0.408,20.1,0.262,0.124,0.064,0.039,0.034,0.738,0.459,0.552,0.467,0.333,0.25,0.39,0.786,1,0.039,7,0.413,0.423,1,0
2020-21,31,LAC,NBA,PF,38,582,0.436,18.6,0.321,0.182,0.079,0.042,0.018,0.679,0.604,0.7,0.462,0.571,0.333,0.357,0.656,0.975,0.048,7,0.446,0.34,1,0
