Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,SAS,NBA,PG,58,656,0.469,17.8,0.461,0.195,0.046,0.062,0.158,0.539,0.55,0.66,0.364,0.6,0.447,0.4,0.623,0.942,0,0,0.423,0.455,0,0
2013-14,25,SAS,NBA,PG,81,1527,0.464,18.1,0.523,0.132,0.068,0.074,0.249,0.477,0.5,0.716,0.467,0.367,0.434,0.425,0.443,0.726,0,0,0.302,0.469,1,0
2014-15,26,SAS,NBA,PG,51,801,0.381,18.6,0.458,0.122,0.063,0.057,0.217,0.542,0.429,0.561,0.286,0.263,0.438,0.341,0.515,0.855,0,0,0.253,0.37,1,0
2015-16,27,SAS,NBA,PG,81,1662,0.425,18.7,0.477,0.142,0.028,0.034,0.273,0.523,0.469,0.655,0.294,0.429,0.395,0.384,0.438,0.846,0,0,0.253,0.37,2,0
2016-17,28,SAS,NBA,PG,80,1754,0.44,19.2,0.428,0.148,0.027,0.027,0.23,0.572,0.474,0.641,0.294,0.412,0.385,0.414,0.54,0.823,0,0,0.276,0.459,0,0
2017-18,29,SAS,NBA,PG,82,2107,0.411,19.9,0.393,0.111,0.043,0.023,0.216,0.607,0.47,0.579,0.379,0.438,0.435,0.372,0.476,0.76,0,0,0.147,0.459,2,0
2018-19,30,SAS,NBA,PG,82,1908,0.425,19.5,0.391,0.139,0.057,0.027,0.167,0.609,0.475,0.685,0.395,0.333,0.351,0.394,0.407,0.755,0,0,0.213,0.477,1,0
2019-20,31,SAS,NBA,PG,66,1485,0.431,20.4,0.326,0.117,0.042,0.04,0.127,0.674,0.533,0.686,0.52,0.375,0.447,0.382,0.51,0.779,0,0,0.208,0.452,3,0
2020-21,32,SAS,NBA,PG,68,1685,0.412,20.7,0.298,0.111,0.057,0.028,0.101,0.702,0.5,0.574,0.457,0.353,0.484,0.375,0.549,0.783,0,0,0.147,0.46,0,0
2021-22,33,BRK,NBA,SG,81,2346,0.408,21.4,0.285,0.064,0.037,0.065,0.118,0.715,0.429,0.745,0.207,0.365,0.362,0.4,0.619,0.925,0,0,0.257,0.397,3,0
2022-23,34,BRK,NBA,PG,40,567,0.411,20.9,0.359,0.062,0.057,0.077,0.163,0.641,0.493,0.769,0.5,0.25,0.5,0.366,0.568,0.857,0,0,0.254,0.382,1,0
