Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,IND,NBA,SF,79,2972,0.419,15.5,0.601,0.241,0.085,0.116,0.159,0.399,0.457,0.629,0.25,0.372,0.369,0.362,0.44,0.835,0.065,71,0.252,0.415,4,0
2013-14,23,IND,NBA,SF,80,2898,0.424,15.8,0.633,0.208,0.084,0.15,0.191,0.367,0.458,0.597,0.36,0.402,0.392,0.364,0.362,0.775,0.055,69,0.192,0.49,5,0
2014-15,24,IND,NBA,SF,6,91,0.367,16.4,0.551,0.204,0.041,0.143,0.163,0.449,0.333,0.4,0,0.429,0.25,0.409,0.333,0.889,0.061,2,0.227,0.2,0,0
2015-16,25,IND,NBA,SF,81,2819,0.418,16.2,0.609,0.168,0.081,0.118,0.242,0.391,0.447,0.602,0.415,0.351,0.397,0.371,0.319,0.71,0.024,32,0.239,0.415,0,0
2016-17,26,IND,NBA,SF,75,2689,0.461,17.1,0.632,0.131,0.099,0.121,0.283,0.368,0.501,0.625,0.489,0.411,0.484,0.393,0.375,0.815,0.026,31,0.19,0.404,1,0
2017-18,27,OKC,NBA,SF,79,2891,0.43,16.1,0.546,0.196,0.091,0.113,0.146,0.454,0.454,0.669,0.32,0.358,0.323,0.401,0.358,0.803,0.032,38,0.195,0.437,4,0
2018-19,28,OKC,NBA,SF,77,2841,0.438,16.6,0.531,0.211,0.097,0.108,0.115,0.469,0.484,0.629,0.363,0.391,0.409,0.386,0.311,0.671,0.035,52,0.132,0.42,8,2
2019-20,29,LAC,NBA,SF,48,1419,0.439,17.4,0.513,0.15,0.125,0.113,0.125,0.487,0.464,0.684,0.357,0.409,0.357,0.412,0.339,0.65,0.02,15,0.181,0.565,2,0
2020-21,30,LAC,NBA,SF,54,1821,0.467,16.2,0.563,0.185,0.146,0.113,0.12,0.437,0.51,0.636,0.403,0.444,0.509,0.411,0.277,0.673,0.024,19,0.18,0.56,4,0
2021-22,31,LAC,NBA,PF,31,1077,0.421,16.6,0.596,0.146,0.123,0.16,0.167,0.404,0.467,0.667,0.346,0.451,0.396,0.354,0.22,0.484,0.019,10,0.152,0.538,0,0
2022-23,32,LAC,NBA,SF,56,1939,0.457,16.7,0.576,0.145,0.14,0.132,0.157,0.424,0.521,0.699,0.553,0.421,0.411,0.371,0.322,0.614,0.042,36,0.134,0.491,4,0
