Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,27,UTA,NBA,PF,78,2375,0.49,8.9,0.955,0.353,0.253,0.147,0.202,0.045,0.498,0.683,0.38,0.357,0.424,0.333,0.608,0.923,0.054,41,0.256,0.6,1,0
2013-14,28,ATL,NBA,PF,74,2482,0.461,10.4,0.798,0.345,0.239,0.104,0.11,0.202,0.487,0.62,0.428,0.385,0.296,0.358,0.641,0.974,0.04,34,0.193,0.366,2,1
2014-15,29,ATL,NBA,PF,73,2390,0.476,9.8,0.768,0.377,0.214,0.086,0.09,0.232,0.513,0.638,0.427,0.275,0.417,0.356,0.59,0.948,0.057,44,0.241,0.442,0,0
2015-16,30,ATL,NBA,PF,81,2647,0.47,9.9,0.782,0.363,0.205,0.131,0.084,0.218,0.512,0.63,0.385,0.464,0.378,0.319,0.644,0.973,0.046,40,0.181,0.19,1,0
2016-17,31,ATL,NBA,PF,69,2343,0.442,12.2,0.752,0.254,0.216,0.184,0.098,0.248,0.486,0.611,0.395,0.475,0.379,0.311,0.558,0.947,0.017,15,0.166,0.45,1,0
2017-18,32,DEN,NBA,PF,38,1143,0.464,11.3,0.74,0.2,0.326,0.168,0.048,0.26,0.506,0.644,0.486,0.452,0.238,0.345,0.491,0.949,0.039,16,0.177,0.5,1,0
2018-19,33,DEN,NBA,PF,70,1895,0.484,10,0.761,0.34,0.295,0.111,0.015,0.239,0.522,0.668,0.408,0.419,0.2,0.365,0.564,1,0.072,43,0.208,0.424,1,1
2019-20,34,DEN,NBA,PF,51,1240,0.482,10.8,0.717,0.34,0.247,0.098,0.032,0.283,0.5,0.671,0.315,0.419,0.357,0.435,0.631,1,0.05,19,0.274,0.441,0,0
2020-21,35,DEN,NBA,PF,56,1162,0.476,12.5,0.643,0.244,0.309,0.08,0.01,0.357,0.55,0.694,0.5,0.375,0,0.343,0.613,0.98,0.04,13,0.196,0.464,0,0
2021-22,36,TOT,NBA,C,33,375,0.391,10.9,0.696,0.357,0.243,0.087,0.009,0.304,0.463,0.537,0.429,0.3,0,0.229,0.486,1,0.052,3,0.371,0.077,0,0
2021-22,36,BRK,NBA,C,24,270,0.376,11.1,0.682,0.376,0.212,0.082,0.012,0.318,0.448,0.531,0.389,0.286,0,0.222,0.462,1,0.047,3,0.37,0.1,0,0
2021-22,36,PHI,NBA,C,9,106,0.433,10.2,0.733,0.3,0.333,0.1,0,0.267,0.5,0.556,0.5,0.333,,0.25,0.545,1,0.067,0,0.375,0,0,0
