Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,TOR,NBA,PF,29,342,0.56,7.9,0.973,0.573,0.08,0.053,0.267,0.027,0.562,0.651,0.5,0.5,0.4,0.5,0.732,1,0.267,19,0.5,1,0,0
2013-14,23,TOT,NBA,SF,63,847,0.468,8.2,0.894,0.461,0.22,0.05,0.163,0.106,0.492,0.6,0.387,0.429,0.348,0.267,0.694,1,0.191,25,0.667,0.3,0,0
2013-14,23,TOR,NBA,SF,7,61,0.429,14.1,0.643,0.357,0.071,0,0.214,0.357,0.444,0.6,1,,0,0.4,0.75,1,0.143,2,0.4,0.5,0,0
2013-14,23,SAC,NBA,SF,56,786,0.472,7.5,0.921,0.472,0.236,0.055,0.157,0.079,0.496,0.6,0.367,0.429,0.4,0.2,0.69,1,0.197,23,0.8,0.25,0,0
2014-15,24,NYK,NBA,PF,68,1287,0.459,12.4,0.819,0.296,0.094,0.133,0.296,0.181,0.494,0.673,0.419,0.409,0.378,0.3,0.724,1,0.106,33,0.383,0.261,1,0
2015-16,25,SAC,NBA,PF,59,876,0.556,9.7,0.771,0.458,0.121,0.037,0.154,0.229,0.606,0.735,0.385,0.5,0.424,0.388,0.71,0.947,0.215,43,0.347,0.529,0,0
2016-17,26,TOT,NBA,PF,38,558,0.412,16.2,0.471,0.265,0.065,0.076,0.059,0.529,0.413,0.489,0.273,0.308,0.4,0.411,0.727,0.973,0.035,6,0.278,0.36,1,0
2016-17,26,DAL,NBA,PF,6,48,0.294,15.3,0.588,0.235,0.118,0.059,0.118,0.412,0.4,0.5,0.5,1,0,0.143,0.75,1,0.118,2,0.286,0.5,0,0
2016-17,26,BRK,NBA,PF,32,510,0.425,16.3,0.458,0.268,0.059,0.078,0.052,0.542,0.414,0.488,0.222,0.25,0.5,0.434,0.724,0.972,0.026,4,0.277,0.348,1,0
2017-18,27,BRK,NBA,PF,70,1359,0.356,20.7,0.2,0.115,0.027,0.025,0.033,0.8,0.384,0.5,0,0.333,0.333,0.349,0.857,0.99,0.036,9,0.305,0.404,0,0
2018-19,28,PHO,NBA,PF,10,123,0.222,21.7,0.167,0.111,0,0.056,0,0.833,0.667,1,,0,,0.133,1,1,0,0,0.333,0.2,0,0
