Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,BOS,NBA,PG,38,1423,0.484,10.7,0.892,0.363,0.176,0.069,0.284,0.108,0.513,0.598,0.427,0.313,0.508,0.24,0.23,0.417,0.006,3,0.1,0.2,0,0
2013-14,27,BOS,NBA,PG,30,998,0.403,11.9,0.743,0.326,0.211,0.043,0.163,0.257,0.442,0.544,0.324,0.4,0.404,0.289,0.2,0.385,0,0,0.089,0.25,1,0
2014-15,28,TOT,NBA,PG,68,2018,0.426,10.9,0.867,0.309,0.205,0.06,0.293,0.133,0.444,0.633,0.348,0.385,0.323,0.314,0.262,0.778,0.006,4,0.326,0.357,1,0
2014-15,28,BOS,NBA,PG,22,699,0.405,11.2,0.84,0.315,0.185,0.07,0.27,0.16,0.435,0.571,0.324,0.429,0.352,0.25,0.219,0.625,0.005,1,0.031,0,0,0
2014-15,28,DAL,NBA,PG,46,1319,0.436,10.8,0.879,0.306,0.213,0.056,0.303,0.121,0.448,0.662,0.358,0.36,0.311,0.352,0.28,0.842,0.007,3,0.5,0.37,1,0
2015-16,29,SAC,NBA,PG,72,2537,0.454,10.9,0.783,0.344,0.207,0.046,0.185,0.217,0.479,0.639,0.377,0.306,0.338,0.365,0.191,0.71,0.008,5,0.341,0.448,2,0
2016-17,30,CHI,NBA,PG,69,1843,0.408,11.9,0.763,0.351,0.152,0.061,0.2,0.237,0.418,0.497,0.459,0.147,0.33,0.376,0.251,0.94,0.002,1,0.481,0.438,0,0
2017-18,31,NOP,NBA,PG,65,1705,0.468,11,0.696,0.403,0.148,0.047,0.099,0.304,0.526,0.603,0.479,0.435,0.327,0.333,0.215,0.7,0.006,3,0.42,0.286,0,0
2018-19,32,LAL,NBA,PG,46,1369,0.405,12.5,0.671,0.35,0.183,0.058,0.081,0.329,0.428,0.55,0.291,0.24,0.343,0.359,0.169,0.471,0.009,4,0.162,0.217,1,0
2019-20,33,LAL,NBA,PG,48,984,0.418,13.6,0.619,0.305,0.171,0.064,0.079,0.381,0.473,0.58,0.357,0.381,0.385,0.328,0.125,0.659,0,0,0.192,0.333,0,0
2020-21,34,TOT,NBA,PG,45,770,0.442,13.5,0.586,0.326,0.195,0.023,0.042,0.414,0.468,0.6,0.262,0.4,0.444,0.404,0.136,0.639,0,0,0.112,0.4,0,0
2020-21,34,ATL,NBA,PG,27,402,0.4,13.4,0.591,0.327,0.182,0.036,0.045,0.409,0.415,0.611,0.1,0.25,0.4,0.378,0.148,0.588,0,0,0.133,0.5,0,0
2020-21,34,LAC,NBA,PG,18,368,0.486,13.5,0.581,0.324,0.21,0.01,0.038,0.419,0.525,0.588,0.409,1,0.5,0.432,0.125,0.684,0,0,0.091,0.25,0,0
2021-22,35,TOT,NBA,PG,39,698,0.386,16.1,0.5,0.222,0.17,0.091,0.017,0.5,0.42,0.641,0.233,0.313,0,0.352,0.081,0.839,0,0,0.114,0.3,0,0
2021-22,35,LAL,NBA,PG,18,289,0.324,14.1,0.577,0.254,0.225,0.085,0.014,0.423,0.366,0.611,0.125,0.333,0,0.267,0.067,1,0,0,0.067,0.5,0,0
2021-22,35,CLE,NBA,PG,21,409,0.429,17.4,0.448,0.2,0.133,0.095,0.019,0.552,0.468,0.667,0.357,0.3,0,0.397,0.091,0.783,0,0,0.138,0.25,0,0
