Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,CHA,NBA,SG,61,1652,0.408,9.2,0.842,0.429,0.21,0.081,0.121,0.158,0.427,0.514,0.338,0.345,0.329,0.308,0.461,0.788,0.018,12,0.206,0.273,1,0
2013-14,27,TOT,NBA,PG,83,2214,0.429,9.2,0.839,0.446,0.195,0.081,0.117,0.161,0.457,0.56,0.327,0.355,0.356,0.282,0.386,0.886,0.017,13,0.169,0.286,0,0
2013-14,27,CHA,NBA,PG,55,1305,0.409,8.7,0.854,0.46,0.211,0.075,0.108,0.146,0.441,0.542,0.316,0.343,0.32,0.221,0.371,0.867,0.015,7,0.147,0.3,0,0
2013-14,27,MIL,NBA,PG,28,909,0.461,9.9,0.816,0.424,0.171,0.089,0.132,0.184,0.484,0.589,0.346,0.37,0.4,0.357,0.408,0.9,0.02,6,0.196,0.273,0,0
2014-15,28,TOT,NBA,PG,64,1188,0.374,9.8,0.82,0.308,0.296,0.093,0.123,0.18,0.387,0.524,0.323,0.226,0.317,0.317,0.443,0.789,0.009,3,0.183,0.364,0,0
2014-15,28,SAC,NBA,PG,36,642,0.344,10.3,0.847,0.235,0.35,0.087,0.175,0.153,0.368,0.512,0.313,0.25,0.344,0.214,0.439,0.833,0.005,1,0.143,0,0,0
2014-15,28,WAS,NBA,PG,28,546,0.411,9.1,0.788,0.397,0.232,0.099,0.06,0.212,0.412,0.533,0.343,0.2,0.222,0.406,0.449,0.769,0.013,2,0.219,0.571,0,0
2015-16,29,WAS,NBA,PG,82,1667,0.473,8.6,0.813,0.434,0.216,0.105,0.057,0.188,0.507,0.576,0.375,0.468,0.559,0.324,0.426,0.889,0.029,15,0.243,0.407,0,0
2016-17,30,CHO,NBA,PG,50,811,0.38,11.2,0.764,0.312,0.24,0.122,0.091,0.236,0.393,0.512,0.333,0.281,0.292,0.339,0.392,0.857,0.015,4,0.21,0.462,0,0
2017-18,31,TOT,NBA,PG,28,392,0.359,9.4,0.778,0.35,0.274,0.12,0.026,0.222,0.374,0.512,0.25,0.286,0.333,0.308,0.441,0.875,0.017,2,0.346,0.333,0,0
2017-18,31,NYK,NBA,PG,13,167,0.321,8.7,0.792,0.377,0.283,0.132,0,0.208,0.357,0.5,0.2,0.286,,0.182,0.333,0.5,0,0,0.273,0,0,0
2017-18,31,WAS,NBA,PG,15,225,0.391,10,0.766,0.328,0.266,0.109,0.047,0.234,0.388,0.524,0.294,0.286,0.333,0.4,0.526,1,0.031,2,0.4,0.5,0,0
