Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,OKC,NBA,PG,70,993,0.458,13.7,0.68,0.292,0.166,0.083,0.138,0.32,0.566,0.747,0.519,0.333,0.378,0.231,0.176,0.833,0.04,12,0.163,0.412,6,0
2013-14,23,OKC,NBA,PG,80,2277,0.44,12.8,0.733,0.286,0.197,0.116,0.134,0.267,0.477,0.599,0.417,0.387,0.382,0.339,0.197,0.663,0.032,27,0.127,0.452,10,0
2014-15,24,TOT,NBA,PG,77,2268,0.434,12.1,0.758,0.271,0.197,0.119,0.171,0.242,0.477,0.615,0.418,0.429,0.359,0.299,0.131,0.486,0.024,22,0.091,0.227,3,0
2014-15,24,OKC,NBA,PG,50,1398,0.432,13,0.726,0.236,0.186,0.099,0.205,0.274,0.49,0.596,0.505,0.491,0.356,0.278,0.146,0.5,0.03,15,0.114,0.222,0,0
2014-15,24,DET,NBA,PG,27,870,0.436,10.9,0.802,0.319,0.212,0.148,0.124,0.198,0.46,0.634,0.315,0.371,0.365,0.337,0.11,0.464,0.017,7,0.048,0.25,3,0
2015-16,25,DET,NBA,PG,79,2424,0.434,11.9,0.732,0.28,0.219,0.122,0.109,0.268,0.464,0.575,0.381,0.48,0.331,0.353,0.064,0.415,0.011,13,0.117,0.385,2,0
2016-17,26,DET,NBA,PG,52,1424,0.419,13.4,0.728,0.232,0.207,0.129,0.161,0.272,0.442,0.51,0.371,0.437,0.44,0.359,0.073,0.455,0.012,6,0.13,0.292,3,0
2017-18,27,DET,NBA,PG,45,1201,0.426,13.7,0.707,0.156,0.251,0.172,0.128,0.293,0.475,0.6,0.434,0.515,0.351,0.308,0.088,0.577,0.009,3,0.142,0.417,3,0
2018-19,28,DET,NBA,PG,82,2289,0.421,16.5,0.55,0.138,0.206,0.113,0.094,0.45,0.464,0.583,0.394,0.432,0.48,0.369,0.187,0.793,0.016,14,0.172,0.407,4,0
2019-20,29,TOT,NBA,PG,31,743,0.411,15.5,0.555,0.175,0.227,0.101,0.052,0.445,0.425,0.561,0.378,0.333,0.353,0.393,0.156,0.667,0.009,3,0.193,0.464,1,0
2019-20,29,DET,NBA,PG,14,381,0.384,15.3,0.586,0.162,0.237,0.126,0.061,0.414,0.388,0.531,0.362,0.32,0.25,0.378,0.111,0.548,0.01,2,0.122,0.4,0,0
2019-20,29,LAC,NBA,PG,17,362,0.453,15.8,0.508,0.195,0.211,0.063,0.039,0.492,0.492,0.6,0.407,0.375,0.6,0.413,0.219,0.808,0.008,1,0.286,0.5,1,0
2020-21,30,LAC,NBA,SG,67,1544,0.45,16.2,0.518,0.188,0.166,0.094,0.07,0.482,0.465,0.609,0.361,0.345,0.488,0.433,0.262,0.844,0.015,8,0.22,0.5,1,0
2021-22,31,LAC,NBA,SG,75,2337,0.392,16.3,0.581,0.145,0.19,0.106,0.14,0.419,0.439,0.627,0.444,0.354,0.304,0.326,0.205,0.587,0.011,10,0.186,0.358,2,0
2022-23,32,TOT,NBA,PG,68,1657,0.411,16.1,0.55,0.13,0.209,0.1,0.1,0.45,0.474,0.639,0.44,0.422,0.406,0.333,0.257,0.823,0.008,5,0.253,0.384,1,1
2022-23,32,LAC,NBA,PG,52,1338,0.418,15.9,0.57,0.145,0.221,0.104,0.102,0.43,0.469,0.622,0.416,0.453,0.385,0.35,0.255,0.857,0.008,4,0.227,0.42,0,0
2022-23,32,DEN,NBA,PG,16,319,0.383,16.8,0.469,0.07,0.164,0.086,0.094,0.531,0.5,0.778,0.571,0.273,0.5,0.279,0.267,0.684,0.008,1,0.338,0.304,1,1
