Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,MIN,NBA,PG,57,1691,0.36,12.9,0.821,0.317,0.089,0.091,0.323,0.179,0.374,0.448,0.239,0.319,0.355,0.293,0.196,0.852,0,0,0.13,0.5,0,0
2013-14,23,MIN,NBA,PG,82,2638,0.381,11.8,0.801,0.407,0.073,0.069,0.252,0.199,0.393,0.491,0.347,0.174,0.308,0.331,0.175,0.977,0,0,0.195,0.192,1,0
2014-15,24,MIN,NBA,PG,22,692,0.356,16.1,0.767,0.178,0.014,0.1,0.475,0.233,0.387,0.333,0,0.455,0.404,0.255,0.354,0.769,0,0,0.216,0.091,0,0
2015-16,25,MIN,NBA,PG,76,2323,0.374,15.8,0.676,0.205,0.053,0.082,0.336,0.324,0.396,0.517,0.258,0.229,0.386,0.326,0.268,0.903,0,0,0.195,0.432,1,0
2016-17,26,MIN,NBA,PG,75,2469,0.402,16.1,0.698,0.194,0.062,0.105,0.337,0.302,0.443,0.484,0.325,0.471,0.434,0.306,0.269,0.95,0,0,0.291,0.298,3,0
2017-18,27,UTA,NBA,PG,77,2254,0.418,15.4,0.67,0.172,0.093,0.158,0.247,0.33,0.451,0.535,0.299,0.443,0.456,0.352,0.288,0.865,0,0,0.271,0.351,0,0
2018-19,28,UTA,NBA,PG,68,1899,0.404,14.6,0.652,0.226,0.129,0.149,0.148,0.348,0.454,0.582,0.383,0.339,0.435,0.311,0.389,0.873,0,0,0.287,0.37,1,0
2019-20,29,PHO,NBA,PG,65,2016,0.415,13.9,0.688,0.249,0.137,0.133,0.169,0.312,0.439,0.529,0.284,0.489,0.393,0.361,0.278,0.872,0,0,0.269,0.379,0,0
2020-21,30,MIN,NBA,PG,68,1772,0.388,14.8,0.57,0.221,0.149,0.131,0.07,0.43,0.447,0.582,0.338,0.415,0.314,0.308,0.394,0.939,0.002,1,0.327,0.343,0,0
2021-22,31,CLE,NBA,PG,34,970,0.363,15.4,0.577,0.197,0.165,0.136,0.078,0.423,0.38,0.481,0.294,0.375,0.313,0.339,0.256,0.661,0,0,0.293,0.294,2,0
2022-23,32,CLE,NBA,PG,33,566,0.343,16.4,0.539,0.152,0.09,0.242,0.051,0.461,0.417,0.407,0.188,0.488,0.444,0.256,0.35,0.952,0,0,0.439,0.306,1,0
