Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,23,HOU,NBA,SF,7,34,0.429,21.6,0.214,0,0.143,0,0.071,0.786,0.667,,0.5,,1,0.364,1,1,0,0,0.364,0.5,0,0
2014-15,24,PHI,NBA,SF,70,1956,0.396,17,0.41,0.206,0.112,0.033,0.058,0.59,0.426,0.59,0.271,0.28,0.227,0.374,0.576,0.91,0.012,8,0.188,0.405,2,0
2015-16,25,PHI,NBA,SF,67,1903,0.385,18.5,0.323,0.19,0.083,0.027,0.024,0.677,0.452,0.593,0.237,0.211,0.353,0.353,0.558,0.947,0.015,9,0.137,0.333,3,1
2016-17,26,PHI,NBA,SF,67,2119,0.399,16.2,0.437,0.288,0.101,0.016,0.031,0.563,0.484,0.588,0.257,0.333,0.348,0.333,0.652,0.942,0.027,14,0.08,0.303,0,0
2017-18,27,PHI,NBA,SF,80,2532,0.413,18.9,0.342,0.178,0.069,0.031,0.063,0.658,0.497,0.664,0.379,0.192,0.302,0.369,0.81,0.97,0.037,27,0.113,0.387,4,0
2018-19,28,TOT,NBA,SF,35,1203,0.431,18.6,0.378,0.171,0.094,0.041,0.072,0.622,0.518,0.677,0.412,0.333,0.385,0.378,0.746,0.941,0.039,12,0.12,0.444,0,0
2018-19,28,PHI,NBA,SF,13,440,0.427,19.7,0.342,0.137,0.094,0.034,0.077,0.658,0.5,0.813,0.364,0.25,0.222,0.39,0.9,1,0.043,5,0.065,0,0,0
2018-19,28,MIN,NBA,SF,22,763,0.433,18.1,0.396,0.188,0.094,0.045,0.069,0.604,0.526,0.63,0.435,0.364,0.471,0.372,0.686,0.909,0.037,7,0.149,0.545,0,0
2019-20,29,TOT,NBA,"C,PF",70,2137,0.422,18.7,0.336,0.217,0.087,0.012,0.019,0.664,0.593,0.675,0.429,0.444,0.5,0.335,0.771,0.925,0.017,11,0.131,0.365,4,0
2019-20,29,MIN,NBA,PF,48,1411,0.435,18.2,0.371,0.232,0.097,0.018,0.024,0.629,0.587,0.661,0.479,0.444,0.417,0.346,0.769,0.889,0.016,7,0.093,0.379,3,0
2019-20,29,HOU,NBA,C,22,726,0.392,19.8,0.26,0.185,0.066,0,0.009,0.74,0.61,0.714,0.267,,1,0.315,0.778,1,0.018,4,0.202,0.353,1,0
2020-21,30,POR,NBA,PF,70,2243,0.401,19.6,0.301,0.181,0.075,0.016,0.029,0.699,0.451,0.587,0.211,0.125,0.4,0.379,0.652,0.948,0.031,10,0.126,0.244,1,0
2021-22,31,TOT,NBA,PF,71,1939,0.42,18.8,0.319,0.171,0.108,0.022,0.018,0.681,0.509,0.659,0.333,0.273,0.444,0.378,0.654,0.93,0.03,12,0.198,0.552,0,0
2021-22,31,POR,NBA,PF,48,1431,0.381,18.9,0.315,0.164,0.11,0.021,0.021,0.685,0.462,0.6,0.324,0.286,0.286,0.343,0.612,0.962,0.021,6,0.191,0.477,0,0
2021-22,31,LAC,NBA,PF,23,509,0.5,18.7,0.327,0.185,0.105,0.025,0.012,0.673,0.604,0.767,0.353,0.25,1,0.45,0.719,0.878,0.049,6,0.211,0.696,0,0
2022-23,32,LAC,NBA,PF,48,779,0.445,16.8,0.406,0.205,0.157,0.031,0.013,0.594,0.516,0.702,0.361,0.143,0.333,0.397,0.75,0.981,0.035,7,0.147,0.45,0,0
