Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,NOH,NBA,C,82,2136,0.534,5.6,1,0.477,0.314,0.15,0.058,0,0.534,0.691,0.372,0.37,0.548,,0.589,,0.102,64,,,0,0
2013-14,25,POR,NBA,C,82,2603,0.551,4.8,0.998,0.573,0.264,0.101,0.061,0.002,0.552,0.664,0.406,0.385,0.41,0,0.634,,0.116,75,0,,1,0
2014-15,26,POR,NBA,C,59,1638,0.535,4.5,0.998,0.542,0.286,0.098,0.071,0.002,0.537,0.65,0.408,0.395,0.387,0,0.705,,0.094,38,0,,0,0
2015-16,27,NYK,NBA,C,82,2219,0.539,4.6,0.998,0.456,0.394,0.1,0.048,0.002,0.54,0.619,0.529,0.333,0.313,0,0.524,,0.069,44,1,0,0,0
2016-17,28,CHI,NBA,C,81,2271,0.493,8.8,0.997,0.312,0.324,0.094,0.267,0.003,0.494,0.566,0.474,0.452,0.449,0,0.681,,0.04,26,0.5,0,0,0
2017-18,29,CHI,NBA,C,64,1690,0.53,7.6,0.978,0.315,0.392,0.085,0.186,0.022,0.536,0.729,0.498,0.364,0.367,0.286,0.731,0.75,0.056,34,0,,0,0
2018-19,30,CHI,NBA,C,74,1606,0.568,6.3,0.942,0.37,0.469,0.05,0.052,0.058,0.589,0.712,0.538,0.519,0.25,0.226,0.569,1,0.079,38,0.032,0,0,0
2019-20,31,MIL,NBA,C,66,958,0.492,11.8,0.649,0.254,0.351,0.037,0.007,0.351,0.577,0.684,0.486,0.636,1,0.333,0.58,1,0.04,10,0.524,0.364,0,0
2020-21,32,WAS,NBA,C,71,1354,0.633,5.4,0.958,0.318,0.595,0.042,0,0.042,0.649,0.696,0.648,0.333,,0.278,0.617,1,0.08,32,0.722,0.154,0,0
2021-22,33,ORL,NBA,C,36,612,0.553,6.2,0.97,0.281,0.618,0.055,0.015,0.03,0.56,0.714,0.512,0.364,0.333,0.333,0.519,1,0.035,7,0.167,1,1,0
2022-23,34,CLE,NBA,C,37,299,0.64,6.6,0.947,0.307,0.587,0.013,0.04,0.053,0.648,0.826,0.545,1,0.667,0.5,0.457,1,0.027,2,0.25,1,0,0
