Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,22,UTA,NBA,SG,50,1064,0.414,16.4,0.545,0.128,0.182,0.099,0.136,0.455,0.456,0.667,0.382,0.486,0.333,0.365,0.323,0.855,0.016,6,0.206,0.286,2,0
2015-16,23,UTA,NBA,SG,79,2541,0.42,16,0.538,0.111,0.2,0.13,0.098,0.462,0.472,0.611,0.448,0.421,0.432,0.359,0.206,0.752,0.012,10,0.218,0.367,2,0
2016-17,24,UTA,NBA,SG,59,1593,0.408,16.8,0.539,0.123,0.161,0.14,0.116,0.461,0.44,0.573,0.383,0.409,0.416,0.371,0.291,0.746,0.02,11,0.248,0.447,2,0
2017-18,25,TOT,NBA,SG,60,1616,0.429,16.9,0.557,0.101,0.149,0.152,0.154,0.443,0.467,0.658,0.42,0.43,0.422,0.381,0.369,0.732,0.025,19,0.162,0.389,1,0
2017-18,25,UTA,NBA,SG,39,1084,0.424,17.6,0.525,0.087,0.13,0.139,0.168,0.475,0.455,0.625,0.431,0.416,0.419,0.389,0.318,0.706,0.02,11,0.141,0.351,0,0
2017-18,25,CLE,NBA,SG,21,532,0.442,14.8,0.643,0.141,0.201,0.186,0.116,0.357,0.492,0.714,0.4,0.459,0.435,0.352,0.476,0.84,0.04,8,0.239,0.471,1,0
2018-19,26,TOT,NBA,SG,72,1893,0.435,16,0.648,0.116,0.182,0.164,0.186,0.352,0.478,0.718,0.385,0.464,0.432,0.356,0.404,0.714,0.021,10,0.267,0.429,1,0
2018-19,26,CLE,NBA,SG,45,1234,0.427,15.8,0.665,0.115,0.189,0.165,0.196,0.335,0.46,0.712,0.36,0.427,0.438,0.362,0.403,0.691,0.018,7,0.283,0.419,1,0
2018-19,26,POR,NBA,SG,27,659,0.452,16.4,0.613,0.12,0.166,0.161,0.166,0.387,0.519,0.731,0.444,0.543,0.417,0.345,0.406,0.759,0.028,3,0.238,0.45,0,0
2019-20,27,POR,NBA,SF,21,619,0.506,16.2,0.587,0.116,0.163,0.186,0.122,0.413,0.515,0.8,0.286,0.5,0.571,0.493,0.308,0.886,0.023,4,0.366,0.538,0,0
2020-21,28,TOT,NBA,SF,55,942,0.362,17,0.565,0.092,0.162,0.192,0.119,0.435,0.408,0.583,0.286,0.42,0.419,0.301,0.3,0.794,0.012,2,0.363,0.244,1,0
2020-21,28,POR,NBA,SF,38,726,0.363,16.7,0.582,0.095,0.164,0.204,0.119,0.418,0.41,0.526,0.273,0.439,0.458,0.298,0.313,0.76,0.015,2,0.321,0.222,0,0
2020-21,28,TOR,NBA,SF,17,216,0.356,17.9,0.508,0.085,0.153,0.153,0.119,0.492,0.4,0.8,0.333,0.333,0.286,0.31,0.25,0.889,0,0,0.483,0.286,1,0
2021-22,29,TOT,NBA,"PF,SF",52,709,0.369,19.6,0.42,0.089,0.096,0.102,0.134,0.58,0.424,0.857,0.267,0.438,0.238,0.33,0.536,0.833,0.006,1,0.286,0.346,0,0
2021-22,29,MIL,NBA,PF,39,581,0.351,19.9,0.389,0.099,0.084,0.084,0.122,0.611,0.431,0.846,0.273,0.455,0.188,0.3,0.545,0.917,0.008,1,0.3,0.333,0,0
2021-22,29,LAC,NBA,SF,13,128,0.462,18.1,0.577,0.038,0.154,0.192,0.192,0.423,0.4,1,0.25,0.4,0.4,0.545,0.5,0.5,0,0,0.182,0.5,0,0
