Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,TOT,NBA,SF,75,2687,0.416,12.9,0.792,0.221,0.195,0.195,0.182,0.208,0.44,0.603,0.369,0.43,0.329,0.323,0.362,0.679,0.076,78,0.146,0.263,3,0
2012-13,26,MEM,NBA,SF,42,1541,0.408,12.3,0.813,0.234,0.206,0.203,0.169,0.188,0.431,0.571,0.359,0.414,0.345,0.31,0.382,0.725,0.078,43,0.147,0.158,0,0
2012-13,26,TOR,NBA,SF,33,1146,0.425,13.7,0.768,0.205,0.181,0.184,0.198,0.232,0.452,0.647,0.382,0.452,0.313,0.336,0.337,0.636,0.073,35,0.145,0.368,3,0
2013-14,27,TOT,NBA,SF,73,2531,0.455,11.7,0.833,0.248,0.228,0.166,0.191,0.167,0.481,0.678,0.39,0.474,0.338,0.33,0.288,0.723,0.074,74,0.213,0.286,0,0
2013-14,27,TOR,NBA,SF,18,639,0.388,12.2,0.824,0.245,0.224,0.131,0.224,0.176,0.391,0.585,0.213,0.477,0.307,0.373,0.269,0.682,0.057,14,0.237,0.286,0,0
2013-14,27,SAC,NBA,SF,55,1892,0.482,11.6,0.836,0.249,0.23,0.18,0.178,0.164,0.516,0.714,0.459,0.474,0.353,0.312,0.294,0.744,0.081,60,0.203,0.286,0,0
2014-15,28,SAC,NBA,SF,68,2408,0.455,11.8,0.803,0.203,0.264,0.167,0.168,0.197,0.479,0.617,0.437,0.468,0.388,0.359,0.312,0.734,0.06,60,0.223,0.347,1,0
2015-16,29,SAC,NBA,SF,70,2379,0.463,11.1,0.786,0.267,0.248,0.135,0.136,0.214,0.495,0.651,0.384,0.471,0.416,0.344,0.528,0.824,0.088,78,0.279,0.4,1,0
2016-17,30,SAC,NBA,SF,30,1013,0.455,13.1,0.744,0.233,0.21,0.14,0.161,0.256,0.483,0.689,0.43,0.387,0.338,0.372,0.396,0.881,0.097,41,0.186,0.381,3,0
2017-18,31,SAS,NBA,PF,57,1231,0.471,11.7,0.78,0.261,0.207,0.218,0.095,0.22,0.516,0.679,0.396,0.504,0.353,0.314,0.403,0.865,0.071,32,0.246,0.31,6,0
2018-19,32,SAS,NBA,PF,69,1842,0.504,13.2,0.753,0.193,0.225,0.185,0.15,0.247,0.537,0.639,0.446,0.572,0.5,0.402,0.394,0.892,0.058,34,0.315,0.483,3,0
2019-20,33,SAS,NBA,PF,67,1461,0.446,15.3,0.631,0.168,0.156,0.193,0.114,0.369,0.511,0.72,0.366,0.47,0.471,0.336,0.49,0.851,0.047,23,0.268,0.288,1,0
2020-21,34,SAS,NBA,PF,63,1358,0.42,17.1,0.557,0.121,0.139,0.172,0.126,0.443,0.451,0.605,0.448,0.407,0.367,0.381,0.405,0.896,0.037,19,0.183,0.314,2,0
2021-22,35,UTA,NBA,PF,55,1038,0.414,17.4,0.464,0.142,0.15,0.111,0.061,0.536,0.494,0.778,0.333,0.405,0.391,0.345,0.506,0.929,0.047,14,0.286,0.379,0,0
2022-23,36,UTA,NBA,PF,56,816,0.38,17.3,0.547,0.105,0.171,0.157,0.115,0.453,0.484,0.667,0.429,0.422,0.485,0.254,0.526,1,0.045,11,0.338,0.318,1,0
