Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,21,UTA,NBA,C,45,434,0.486,2.4,1,0.784,0.203,0.014,0,0,0.486,0.586,0.133,0,,,0.667,,0.216,14,,,0,0
2014-15,22,UTA,NBA,C,82,2158,0.604,1.7,0.995,0.789,0.185,0.007,0.014,0.005,0.607,0.709,0.241,0,0,0,0.597,,0.344,135,0,,0,0
2015-16,23,UTA,NBA,C,61,1932,0.559,1.8,1,0.802,0.175,0.006,0.017,0,0.559,0.641,0.226,0,0.333,,0.626,,0.297,96,,,0,0
2016-17,24,UTA,NBA,C,81,2744,0.661,1.7,0.998,0.845,0.144,0.005,0.002,0.002,0.662,0.731,0.278,0.667,0,0,0.741,,0.392,235,0,,1,0
2017-18,25,UTA,NBA,C,56,1816,0.622,2.4,1,0.757,0.194,0.023,0.025,0,0.622,0.726,0.314,0.1,0.364,,0.772,,0.369,151,,,0,0
2018-19,26,UTA,NBA,C,81,2577,0.669,2.2,1,0.815,0.167,0.011,0.007,0,0.669,0.743,0.361,0.125,0.2,,0.735,,0.479,306,,,0,0
2019-20,27,UTA,NBA,C,68,2333,0.693,2.1,1,0.837,0.158,0.005,0,0,0.693,0.755,0.386,0,,,0.749,,0.425,221,,,0,0
2020-21,28,UTA,NBA,C,71,2187,0.675,2.7,0.993,0.77,0.209,0.005,0.009,0.007,0.68,0.798,0.281,0,0.2,0,0.767,,0.432,231,0.25,0,3,0
2021-22,29,UTA,NBA,C,66,2120,0.713,2.7,0.992,0.738,0.244,0.008,0.002,0.008,0.718,0.803,0.468,0.75,0,0,0.724,,0.494,233,0,,2,0
2022-23,30,MIN,NBA,C,70,2148,0.659,2.5,0.995,0.778,0.19,0.022,0.004,0.005,0.663,0.748,0.365,0.333,0,0,0.744,,0.388,200,0,,2,0
