Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,OKC,NBA,PG,82,2861,0.438,11.8,0.805,0.337,0.128,0.141,0.199,0.195,0.466,0.609,0.289,0.398,0.387,0.323,0.191,0.588,0.029,43,0.09,0.333,2,0
2013-14,25,OKC,NBA,PG,46,1412,0.437,12.9,0.729,0.331,0.091,0.137,0.171,0.271,0.482,0.592,0.264,0.444,0.415,0.318,0.302,0.426,0.044,30,0.075,0.375,1,0
2014-15,26,OKC,NBA,PG,67,2302,0.426,11.3,0.804,0.349,0.103,0.17,0.183,0.196,0.457,0.579,0.305,0.4,0.364,0.299,0.185,0.512,0.036,48,0.052,0.267,2,0
2015-16,27,OKC,NBA,PG,80,2750,0.454,10.9,0.764,0.377,0.11,0.171,0.106,0.236,0.503,0.596,0.409,0.429,0.392,0.296,0.177,0.426,0.054,69,0.1,0.265,1,0
2016-17,28,OKC,NBA,PG,81,2802,0.425,13.8,0.7,0.293,0.067,0.171,0.167,0.3,0.459,0.576,0.305,0.434,0.345,0.343,0.136,0.35,0.031,49,0.075,0.409,1,0
2017-18,29,OKC,NBA,PG,80,2914,0.449,11.3,0.807,0.375,0.072,0.151,0.209,0.193,0.485,0.611,0.306,0.382,0.394,0.298,0.17,0.433,0.043,57,0.055,0.333,1,0
2018-19,30,OKC,NBA,PG,73,2630,0.428,12.5,0.721,0.361,0.088,0.143,0.129,0.279,0.481,0.65,0.208,0.333,0.358,0.29,0.17,0.613,0.029,33,0.119,0.367,0,0
2019-20,31,HOU,NBA,PG,57,2049,0.472,10.1,0.834,0.415,0.142,0.13,0.148,0.166,0.514,0.64,0.363,0.404,0.402,0.258,0.235,0.655,0.041,40,0.192,0.22,0,0
2020-21,32,WAS,NBA,PG,65,2369,0.439,13.2,0.779,0.194,0.245,0.117,0.224,0.221,0.475,0.65,0.465,0.379,0.383,0.315,0.164,0.628,0.025,24,0.103,0.429,0,0
2021-22,33,LAL,NBA,PG,78,2678,0.444,10.8,0.785,0.333,0.232,0.106,0.114,0.215,0.485,0.623,0.388,0.374,0.379,0.298,0.232,0.646,0.021,17,0.181,0.438,0,0
2022-23,34,TOT,NBA,PG,73,2126,0.436,11.8,0.711,0.305,0.229,0.103,0.075,0.289,0.487,0.632,0.379,0.461,0.257,0.311,0.23,0.663,0.023,19,0.227,0.231,1,0
2022-23,34,LAL,NBA,PG,52,1491,0.417,11.7,0.708,0.31,0.23,0.096,0.071,0.292,0.467,0.624,0.333,0.414,0.288,0.296,0.203,0.635,0.018,11,0.174,0.243,1,0
2022-23,34,LAC,NBA,PG,21,635,0.489,11.8,0.721,0.29,0.225,0.122,0.084,0.279,0.54,0.658,0.508,0.563,0.182,0.356,0.294,0.731,0.038,8,0.384,0.214,0,0
