Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,NOH,NBA,PF,81,2503,0.423,17.4,0.5,0.191,0.097,0.069,0.143,0.5,0.464,0.587,0.333,0.312,0.463,0.382,0.494,0.958,0.011,12,0.136,0.382,2,0
2013-14,25,NOP,NBA,PF,22,795,0.438,16.8,0.537,0.198,0.093,0.09,0.155,0.463,0.463,0.529,0.333,0.344,0.527,0.409,0.42,0.985,0.003,1,0.128,0.476,0,0
2014-15,26,NOP,NBA,PF,61,1675,0.399,16.5,0.508,0.214,0.092,0.082,0.119,0.492,0.457,0.558,0.463,0.333,0.356,0.34,0.379,0.943,0.01,6,0.148,0.34,3,0
2015-16,27,NOP,NBA,PF,66,2008,0.427,15.3,0.615,0.227,0.097,0.112,0.179,0.385,0.466,0.521,0.433,0.375,0.47,0.366,0.444,0.924,0.02,16,0.165,0.322,5,0
2016-17,28,HOU,NBA,PF,72,2116,0.418,19.9,0.345,0.144,0.074,0.035,0.092,0.655,0.446,0.568,0.351,0.444,0.338,0.403,0.378,0.975,0.009,6,0.142,0.542,0,0
2017-18,29,HOU,NBA,PF,66,1725,0.431,20.4,0.294,0.142,0.044,0.04,0.069,0.706,0.539,0.647,0.143,0.579,0.545,0.386,0.342,0.992,0.019,9,0.109,0.405,0,0
2018-19,30,TOT,NBA,PF,25,322,0.304,19.4,0.42,0.203,0,0.101,0.116,0.58,0.414,0.5,,0.143,0.5,0.225,0.5,1,0.029,1,0.175,0.143,1,0
2018-19,30,PHO,NBA,PF,15,278,0.317,18.7,0.433,0.2,0,0.117,0.117,0.567,0.462,0.583,,0.143,0.571,0.206,0.5,1,0.033,1,0.147,0,0,0
2018-19,30,MIA,NBA,PF,10,44,0.222,24.3,0.333,0.222,0,0,0.111,0.667,0,0,,,0,0.333,,1,0,0,0.333,0.5,1,0
2019-20,31,HOU,NBA,C,2,14,0.286,21.5,0.286,0.143,0,0.143,0,0.714,0.5,0,,1,,0.2,0,1,0,0,0,,0,0
