Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,25,MIN,NBA,SG,4,72,0.35,17.6,0.35,0.25,0,0.05,0.05,0.65,0.429,0.4,,0,1,0.308,0.333,1,0.05,1,0.154,0.5,0,0
2015-16,26,TOT,NBA,SG,31,616,0.456,14.2,0.578,0.252,0.148,0.081,0.096,0.422,0.538,0.691,0.375,0.5,0.423,0.342,0.571,0.872,0.015,3,0.333,0.395,0,0
2015-16,26,DEN,NBA,SG,8,82,0.381,19.9,0.19,0.095,0.095,0,0,0.81,1,1,1,,,0.235,0.25,1,0,0,0.471,0.25,0,0
2015-16,26,BRK,NBA,SG,23,534,0.462,13.7,0.61,0.265,0.153,0.088,0.104,0.39,0.526,0.682,0.342,0.5,0.423,0.361,0.588,0.857,0.016,3,0.309,0.433,0,0
2016-17,27,BRK,NBA,SG,70,1754,0.415,14.8,0.581,0.273,0.143,0.067,0.097,0.419,0.468,0.582,0.362,0.286,0.423,0.341,0.43,0.752,0.007,5,0.211,0.338,7,0
2017-18,28,TOT,NBA,SG,52,640,0.374,15.8,0.51,0.218,0.129,0.065,0.099,0.49,0.427,0.547,0.342,0.316,0.345,0.319,0.469,0.761,0.003,1,0.278,0.325,2,0
2017-18,28,BRK,NBA,SG,16,183,0.287,16.4,0.506,0.172,0.149,0.08,0.103,0.494,0.318,0.4,0.308,0.143,0.333,0.256,0.5,0.636,0,0,0.163,0.286,2,0
2017-18,28,MIL,NBA,SG,23,205,0.378,16.2,0.439,0.195,0.146,0.061,0.037,0.561,0.5,0.688,0.417,0.2,0.333,0.283,0.333,1,0,0,0.391,0.278,0,0
2017-18,28,LAC,NBA,SG,4,38,0.389,15.2,0.611,0.222,0.111,0.111,0.167,0.389,0.364,0.5,0.5,0.5,0,0.429,0.75,0.333,0,0,0.286,0.5,0,0
2017-18,28,CHI,NBA,SG,9,214,0.439,15,0.551,0.271,0.103,0.047,0.131,0.449,0.475,0.552,0.273,0.6,0.429,0.396,0.5,0.737,0.009,1,0.271,0.385,0,0
