Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,OKC,NBA,PF,80,2486,0.573,10.5,0.927,0.334,0.154,0.131,0.307,0.073,0.591,0.742,0.492,0.588,0.477,0.351,0.746,0.95,0.135,97,0.912,0.365,0,0
2013-14,24,OKC,NBA,PF,81,2666,0.536,10.6,0.939,0.327,0.15,0.152,0.309,0.061,0.546,0.731,0.381,0.49,0.457,0.383,0.79,0.957,0.132,116,0.817,0.347,0,0
2014-15,25,OKC,NBA,PF,64,2116,0.476,13.9,0.739,0.202,0.127,0.118,0.291,0.261,0.511,0.679,0.43,0.505,0.432,0.376,0.741,0.987,0.064,46,0.18,0.405,0,0
2015-16,26,OKC,NBA,PF,78,2500,0.479,13.6,0.788,0.196,0.129,0.123,0.341,0.212,0.52,0.671,0.5,0.486,0.453,0.326,0.837,0.983,0.075,61,0.527,0.351,0,0
2016-17,27,TOT,NBA,PF,79,2422,0.48,15.1,0.677,0.146,0.189,0.177,0.165,0.323,0.522,0.727,0.457,0.466,0.475,0.391,0.666,0.984,0.038,35,0.057,0.167,0,0
2016-17,27,ORL,NBA,PF,56,1710,0.488,14.5,0.696,0.171,0.189,0.168,0.168,0.304,0.532,0.725,0.496,0.449,0.458,0.388,0.673,0.976,0.048,32,0.061,0.231,0,0
2016-17,27,TOR,NBA,PF,23,712,0.459,16.4,0.631,0.082,0.19,0.201,0.158,0.369,0.494,0.739,0.358,0.5,0.523,0.398,0.644,1,0.011,3,0.049,0,0,0
2017-18,28,TOR,NBA,PF,76,2093,0.483,15.1,0.621,0.162,0.154,0.154,0.151,0.379,0.559,0.724,0.479,0.521,0.5,0.36,0.699,0.953,0.06,45,0.152,0.444,0,0
2018-19,29,TOR,NBA,C,74,2010,0.529,11.8,0.807,0.259,0.229,0.152,0.168,0.193,0.586,0.758,0.517,0.474,0.517,0.29,0.788,0.98,0.09,71,0.107,0.333,0,0
2019-20,30,TOR,NBA,C,55,1485,0.512,12.4,0.728,0.24,0.264,0.11,0.113,0.272,0.559,0.764,0.492,0.459,0.382,0.385,0.799,1,0.09,55,0.11,0.25,0,0
2020-21,31,LAC,NBA,C,41,955,0.51,12.9,0.685,0.244,0.268,0.085,0.088,0.315,0.588,0.753,0.469,0.484,0.594,0.339,0.673,1,0.082,25,0.043,0.2,0,0
2021-22,32,TOT,NBA,C,54,878,0.5,13.8,0.666,0.193,0.274,0.105,0.095,0.334,0.563,0.789,0.506,0.516,0.321,0.374,0.703,1,0.074,21,0.091,0.222,0,0
2021-22,32,LAC,NBA,C,35,538,0.49,13.9,0.677,0.182,0.271,0.12,0.104,0.323,0.538,0.743,0.519,0.435,0.35,0.387,0.7,1,0.068,12,0.032,0.5,0,0
2021-22,32,MIL,NBA,C,19,339,0.519,13.7,0.644,0.212,0.279,0.077,0.077,0.356,0.612,0.864,0.483,0.75,0.25,0.351,0.707,1,0.087,9,0.189,0.143,0,0
2022-23,33,MIL,NBA,C,16,185,0.481,12.8,0.667,0.333,0.185,0.074,0.074,0.333,0.556,0.778,0.4,0,0.5,0.333,0.55,1,0.148,7,0.111,0.5,0,0
