Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,23,TOT,NBA,PG,2,13,0.333,8,0.667,0,0.667,0,0,0.333,0,,0,,,1,,1,0,0,0,,0,0
2013-14,23,MEM,NBA,PG,1,4,,,,,,,,,,,,,,,,,,0,,,0,0
2013-14,23,CLE,NBA,PG,1,9,0.333,8,0.667,0,0.667,0,0,0.333,0,,0,,,1,,1,0,0,0,,0,0
2014-15,24,PHO,NBA,PG,2,8,0,22.3,0.667,0,0,0,0.667,0.333,0,,,,0,0,,,0,0,0,,0,0
2015-16,25,SAC,NBA,PG,44,692,0.455,17.7,0.504,0.089,0.147,0.071,0.196,0.496,0.46,0.7,0.394,0.563,0.364,0.45,0.423,0.78,0,0,0.243,0.556,1,0
2016-17,26,DAL,NBA,PG,70,2029,0.481,17.3,0.542,0.129,0.127,0.088,0.198,0.458,0.528,0.637,0.584,0.516,0.424,0.425,0.229,0.745,0,0,0.217,0.486,1,0
2018-19,28,POR,NBA,SG,74,1399,0.456,19,0.46,0.116,0.077,0.077,0.189,0.54,0.463,0.593,0.417,0.5,0.386,0.45,0.455,0.832,0.002,1,0.187,0.489,0,0
2019-20,29,DAL,NBA,SG,64,1576,0.495,18.9,0.441,0.091,0.129,0.105,0.117,0.559,0.549,0.712,0.446,0.55,0.537,0.452,0.424,0.8,0,0,0.171,0.436,1,0
2020-21,30,PHI,NBA,SG,57,1638,0.467,19.3,0.493,0.083,0.111,0.096,0.203,0.507,0.485,0.63,0.426,0.509,0.446,0.45,0.591,0.857,0,0,0.157,0.636,1,0
2021-22,31,TOT,NBA,SG,64,2134,0.487,19.4,0.494,0.053,0.1,0.133,0.208,0.506,0.553,0.692,0.568,0.51,0.539,0.422,0.465,0.829,0,0,0.182,0.5,0,0
2021-22,31,PHI,NBA,SG,45,1566,0.485,19.1,0.527,0.055,0.11,0.138,0.223,0.473,0.561,0.69,0.552,0.548,0.542,0.4,0.481,0.78,0,0,0.152,0.5,0,0
2021-22,31,BRK,NBA,SG,19,569,0.493,20.2,0.412,0.047,0.076,0.118,0.171,0.588,0.529,0.7,0.625,0.4,0.528,0.468,0.413,0.914,0,0,0.242,0.5,0,0
2022-23,32,BRK,NBA,SG,61,1211,0.463,19.8,0.483,0.058,0.067,0.114,0.245,0.517,0.525,0.615,0.467,0.588,0.491,0.405,0.526,0.809,0,0,0.254,0.424,0,0
