Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,TOT,NBA,"PG,SG",31,416,0.46,17,0.611,0.159,0.111,0.087,0.254,0.389,0.519,0.55,0.429,0.636,0.5,0.367,0.2,0.5,0,0,0.184,0.444,0,0
2012-13,22,WAS,NBA,PG,7,141,0.4,16.9,0.675,0.15,0.1,0.1,0.325,0.325,0.444,0.5,0.5,0.5,0.385,0.308,0.167,1,0,0,0.385,0.4,0,0
2012-13,22,PHI,NBA,SG,4,7,0.5,21,0.5,0,0,0,0.5,0.5,1,,,,1,0,1,,0,0,0,,0,0
2012-13,22,ATL,NBA,PG,20,268,0.488,16.9,0.583,0.167,0.119,0.083,0.214,0.417,0.551,0.571,0.4,0.714,0.556,0.4,0.185,0.357,0,0,0.114,0.5,0,0
2013-14,23,ATL,NBA,PG,73,1490,0.417,14.3,0.633,0.25,0.16,0.078,0.146,0.367,0.464,0.576,0.35,0.487,0.384,0.337,0.367,0.694,0,0,0.239,0.364,0,0
2014-15,24,ATL,NBA,PG,55,833,0.401,15.4,0.565,0.199,0.137,0.092,0.137,0.435,0.467,0.569,0.375,0.444,0.425,0.315,0.442,0.8,0,0,0.165,0.476,0,0
2015-16,25,TOT,NBA,PG,52,1058,0.439,12.2,0.699,0.217,0.28,0.092,0.113,0.301,0.493,0.689,0.44,0.395,0.319,0.312,0.294,0.667,0,0,0.304,0.395,0,0
2015-16,25,ATL,NBA,PG,24,179,0.421,12.4,0.716,0.242,0.211,0.116,0.147,0.284,0.529,0.739,0.5,0.455,0.286,0.148,0.361,0.5,0,0,0.259,0.286,0,0
2015-16,25,UTA,NBA,PG,28,879,0.444,12.2,0.694,0.209,0.3,0.084,0.103,0.306,0.482,0.672,0.427,0.37,0.333,0.357,0.271,0.686,0,0,0.316,0.419,0,0
2016-17,26,UTA,NBA,PG,55,1205,0.446,13.3,0.685,0.239,0.184,0.165,0.1,0.315,0.51,0.637,0.443,0.444,0.421,0.308,0.316,0.649,0,0,0.242,0.241,0,0
2017-18,27,ORL,NBA,PG,69,1365,0.43,13.1,0.664,0.229,0.225,0.118,0.092,0.336,0.473,0.705,0.355,0.327,0.368,0.345,0.323,0.688,0,0,0.137,0.421,0,0
2018-19,28,TOT,NBA,PG,57,1246,0.404,13.1,0.677,0.268,0.196,0.119,0.094,0.323,0.429,0.611,0.342,0.313,0.237,0.354,0.47,0.543,0,0,0.169,0.273,0,0
2018-19,28,MEM,NBA,PG,53,1204,0.414,13.2,0.671,0.272,0.193,0.113,0.093,0.329,0.441,0.613,0.347,0.341,0.25,0.359,0.461,0.543,0,0,0.172,0.273,0,0
2018-19,28,CHO,NBA,PG,4,42,0.143,11.7,0.857,0.143,0.286,0.286,0.143,0.143,0.167,0.5,0.25,0,0,0,1,,0,0,0,,0,0
